Game Information,,,,,,Player Statlines,,,,
Week,Game,Match ID,Team,Opponent,Player,Sc,G,A,Sv,Sh
1,1,1,Blizzard,Eclipse,MapleSurrup,869,3,0,3,9
1,1,1,Blizzard,Eclipse,Barry Allen,320,1,0,0,7
1,1,1,Eclipse,Blizzard,ballena,909,3,1,3,5
1,1,1,Eclipse,Blizzard,Krops,838,2,1,4,4
1,2,1,Blizzard,Eclipse,MapleSurrup,643,2,0,3,5
1,2,1,Blizzard,Eclipse,Barry Allen,218,0,0,1,1
1,2,1,Eclipse,Blizzard,ballena,650,2,0,2,4
1,2,1,Eclipse,Blizzard,Krops,608,1,2,3,5
1,3,1,Blizzard,Eclipse,MapleSurrup,709,3,1,1,5
1,3,1,Blizzard,Eclipse,Barry Allen,891,3,2,4,5
1,3,1,Eclipse,Blizzard,ballena,467,2,0,1,4
1,3,1,Eclipse,Blizzard,Krops,685,0,2,4,5
1,4,1,Blizzard,Eclipse,MapleSurrup,478,1,1,1,4
1,4,1,Blizzard,Eclipse,Barry Allen,272,1,1,0,2
1,4,1,Eclipse,Blizzard,ballena,557,0,3,2,2
1,4,1,Eclipse,Blizzard,Krops,645,4,0,1,5
1,5,1,Blizzard,Eclipse,MapleSurrup,641,1,1,3,5
1,5,1,Blizzard,Eclipse,Barry Allen,494,2,1,0,5
1,5,1,Eclipse,Blizzard,ballena,867,2,3,3,8
1,5,1,Eclipse,Blizzard,Krops,854,4,1,2,3
1,1,2,Hurricanes,Lightning,Iguane Fabuleux,557,0,0,5,2
1,1,2,Hurricanes,Lightning,Jimmer,120,0,0,0,0
1,1,2,Lightning,Hurricanes,Jdaaab,355,1,0,1,4
1,1,2,Lightning,Hurricanes,iP JoKeR,176,0,1,0,3
1,2,2,Hurricanes,Lightning,Iguane Fabuleux,516,2,1,0,2
1,2,2,Hurricanes,Lightning,Jimmer,703,4,0,1,6
1,2,2,Lightning,Hurricanes,Jdaaab,478,2,0,1,2
1,2,2,Lightning,Hurricanes,iP JoKeR,422,1,2,1,2
1,3,2,Hurricanes,Lightning,Iguane Fabuleux,472,2,0,2,4
1,3,2,Hurricanes,Lightning,Jimmer,445,0,2,3,1
1,3,2,Lightning,Hurricanes,Jdaaab,771,3,1,1,7
1,3,2,Lightning,Hurricanes,iP JoKeR,370,1,1,2,2
1,4,2,Hurricanes,Lightning,Iguane Fabuleux,651,1,2,4,4
1,4,2,Hurricanes,Lightning,Jimmer,525,3,0,0,4
1,4,2,Lightning,Hurricanes,Jdaaab,782,2,2,4,6
1,4,2,Lightning,Hurricanes,iP JoKeR,717,3,0,2,7
1,5,2,Hurricanes,Lightning,Iguane Fabuleux,610,2,1,1,5
1,5,2,Hurricanes,Lightning,Jimmer,602,1,1,5,3
1,5,2,Lightning,Hurricanes,Jdaaab,783,3,1,1,9
1,5,2,Lightning,Hurricanes,iP JoKeR,382,1,1,1,3
1,1,3,Foxes,Puffins,henrY,150,1,1,1,1
1,1,3,Foxes,Puffins,Blazed,150,1,1,1,1
