Week 1 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,Player Totals,Played,Win,Score,Goals,Assists,Saves,Shots,Score/A,Sc/G,G/G,A/G,Sv/G,Sh/G,GA/G,ShA/G,ScA/G,ARS/G,Win%,Sh%,Sv%
D-Heimer,1,0,225,1,0,1,3,500,,D-heimer,35,15,9535,44,21,39,99,21455,272.4285714,1.257142857,0.6,1.114285714,2.828571429,3.171428571,6.714285714,306.5,-34.07142857,0.4285714286,0.4444444444,
Ljense,,,,,,,,0,,Lokman,20,8,5885,30,11,23,66,13065,294.25,1.5,0.55,1.15,3.3,3.55,7.2,326.625,-32.375,0.4,0.4545454545,
Cha0sTheGreat,1,0,200,0,1,2,3,500,,El Fuego,15,4,4075,19,8,18,42,10130,271.6666667,1.266666667,0.5333333333,1.2,2.8,3.666666667,7.4,337.6666667,-66,0.2666666667,0.4523809524,
Opposition,1,1,500,2,1,3,5,,,Opposition,50,32,30585,170,86,106,329,0,611.7,3.4,1.72,2.12,6.58,,,,129.3,0.64,0.5167173252,
Week 1 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,Team,50,18,24120,113,47,97,264,30010,482.4,2.26,0.94,1.94,5.28,3.4,6.58,600.2,-129.3,0.36,0.428030303,0.2948328267
D-Heimer,1,0,240,1,0,1,1,490,,Former Players,Played,Win,Score,Goals,Assists,Saves,Shots,Score/A,Sc/G,G/G,A/G,Sv/G,Sh/G,GA/G,ShA/G,ScA/G,ARS/G,Win%,Sh%,
Ljense,,,,,,,,0,,Ljense,15,6,2775,16,3,5,35,6890,185,1.066666667,0.2,0.3333333333,2.333333333,2.6,4.533333333,229.6666667,-44.66666667,0.4,0.4571428571,
Cha0sTheGreat,1,0,160,0,0,1,1,490,,Cha0sTheGreat,15,3,1850,4,4,12,22,8480,123.3333333,0.2666666667,0.2666666667,0.8,1.466666667,3.6,6,282.6666667,-159.3333333,0.2,0.1818181818,
Opposition,1,1,490,2,0,1,7,,,,,,,,,,,,,,,,,,,,,,,
Week 1 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
D-Heimer,1,0,130,0,0,0,3,670,,,,,,,,,,,,,,,,,,,,,,
Ljense,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Cha0sTheGreat,1,0,110,0,0,0,1,670,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,670,3,3,3,6,,,,,,,,,,,,,,,,,,,,,,,
Week 1 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
D-Heimer,1,0,305,1,0,2,4,680,,,,,,,,,,,,,,,,,,,,,,
Ljense,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Cha0sTheGreat,1,0,185,1,0,1,2,680,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,680,4,0,3,9,,,,,,,,,,,,,,,,,,,,,,,
Week 1 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
D-Heimer,1,1,525,3,1,2,6,445,,,,,,,,,,,,,,,,,,,,,,
Ljense,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Cha0sTheGreat,1,1,290,2,2,0,3,445,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,445,2,1,3,5,,,,,,,,,,,,,,,,,,,,,,,
