Week 1 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,Player Totals,Played,Win,Score,Goals,Assists,Saves,Shots,Score/A,Sc/G,G/G,A/G,Sv/G,Sh/G,GA/G,ShA/G,ScA/G,ARS/G,Win%,Sh%,Sv%
Racer,,,,,,,,0,,Prezto,10,4,2770,10,4,16,28,6595,277,1,0.4,1.6,2.8,3.1,6.9,329.75,-52.75,0.4,0.3571428571,
ClayBagel,1,1,185,2,0,0,2,370,,ClayBagel,30,7,5880,24,9,40,55,20150,196,0.8,0.3,1.333333333,1.833333333,3.766666667,7.666666667,335.8333333,-139.8333333,0.2333333333,0.4363636364,
Whiffles,1,1,295,0,1,0,5,370,,Acegface,10,3,2395,7,4,9,33,6845,239.5,0.7,0.4,0.9,3.3,3.3,7.3,342.25,-102.75,0.3,0.2121212121,
Opposition,1,0,370,1,1,2,4,,,Opposition,50,30,31190,166,67,113,344,0,623.8,3.32,1.34,2.26,6.88,,,,69.1,0.6,0.4825581395,
Week 1 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,Team,50,20,27735,125,53,123,300,31190,554.7,2.5,1.06,2.46,6,3.32,6.88,623.8,-69.1,0.4,0.4166666667,0.3575581395
Racer,,,,,,,,0,,Former Players,Played,Win,Score,Goals,Assists,Saves,Shots,Score/A,Sc/G,G/G,A/G,Sv/G,Sh/G,GA/G,ShA/G,ScA/G,ARS/G,Win%,Sh%,
ClayBagel,1,1,205,1,1,0,2,350,,Whiffles,15,11,5060,25,18,11,59,6985,337.3333333,1.666666667,1.2,0.7333333333,3.933333333,2.266666667,4.666666667,232.8333333,104.5,0.7333333333,0.4237288136,
Whiffles,1,1,360,1,0,1,6,350,,Racer,20,11,7905,42,16,26,91,11480,395.25,2.1,0.8,1.3,4.55,3.05,6.2,287,108.25,0.55,0.4615384615,
Opposition,1,0,350,1,1,3,3,,,MiiGus,15,4,3725,17,2,21,34,10325,248.3333333,1.133333333,0.1333333333,1.4,2.266666667,4,8.133333333,688.3333333,-440,0.2666666667,0.5,
Week 1 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Racer,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
ClayBagel,1,0,105,0,0,1,1,405,,,,,,,,,,,,,,,,,,,,,,
Whiffles,1,0,155,0,0,1,1,405,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,405,1,1,1,4,,,,,,,,,,,,,,,,,,,,,,,
Week 1 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Racer,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
ClayBagel,1,0,240,0,2,2,2,790,,,,,,,,,,,,,,,,,,,,,,
Whiffles,1,0,275,2,0,1,5,790,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,790,5,3,3,9,,,,,,,,,,,,,,,,,,,,,,,
Week 1 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Racer,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
ClayBagel,1,0,235,2,1,0,2,625,,,,,,,,,,,,,,,,,,,,,,
Whiffles,1,0,210,1,1,0,3,625,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,625,4,1,2,5,,,,,,,,,,,,,,,,,,,,,,,
Week 1 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Racer,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
ClayBagel,5,2,970,5,4,3,9,2540,,,,,,,,,,,,,,,,,,,,,,
Whiffles,5,2,1295,4,2,3,20,2540,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,3,2540,12,7,11,25,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 2 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Racer,1,1,380,2,1,1,3,455,,,,,,,,,,,,,,,,,,,,,,
ClayBagel,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Whiffles,1,1,285,2,0,0,3,455,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,455,3,1,0,4,,,,,,,,,,,,,,,,,,,,,,,
Week 2 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Racer,1,1,405,2,0,0,5,385,,,,,,,,,,,,,,,,,,,,,,
ClayBagel,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Whiffles,1,1,270,1,2,3,3,385,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,385,2,0,3,6,,,,,,,,,,,,,,,,,,,,,,,
Week 2 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Racer,1,1,560,4,1,2,6,370,,,,,,,,,,,,,,,,,,,,,,
ClayBagel,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Whiffles,1,1,420,2,2,2,4,370,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,370,2,1,1,7,,,,,,,,,,,,,,,,,,,,,,,
Week 2 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Racer,1,1,545,3,3,0,6,695,,,,,,,,,,,,,,,,,,,,,,
ClayBagel,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Whiffles,1,1,455,4,1,1,3,695,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,695,6,0,1,8,,,,,,,,,,,,,,,,,,,,,,,
Week 2 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Racer,1,1,545,4,0,1,9,595,,,,,,,,,,,,,,,,,,,,,,
ClayBagel,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Whiffles,1,1,370,2,2,0,4,595,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,595,3,0,5,4,,,,,,,,,,,,,,,,,,,,,,,
Week 2 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Racer,5,5,2435,15,5,4,29,2500,,,,,,,,,,,,,,,,,,,,,,
ClayBagel,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Whiffles,5,5,1800,11,7,6,17,2500,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,0,2500,16,2,10,29,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 3 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Racer,1,1,600,5,0,2,6,335,,,,,,,,,,,,,,,,,,,,,,
ClayBagel,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Whiffles,1,1,390,1,5,0,3,335,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,335,1,0,1,3,,,,,,,,,,,,,,,,,,,,,,,
Week 3 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Racer,1,1,430,3,1,0,6,580,,,,,,,,,,,,,,,,,,,,,,
ClayBagel,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Whiffles,1,1,310,2,1,0,5,580,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,580,3,2,4,4,,,,,,,,,,,,,,,,,,,,,,,
Week 3 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Racer,1,1,270,1,2,1,4,300,,,,,,,,,,,,,,,,,,,,,,
ClayBagel,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Whiffles,1,1,595,4,0,2,7,300,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,300,0,0,3,4,,,,,,,,,,,,,,,,,,,,,,,
Week 3 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Racer,1,1,360,3,1,1,2,230,,,,,,,,,,,,,,,,,,,,,,
ClayBagel,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Whiffles,1,1,475,2,3,0,4,230,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,230,0,0,2,2,,,,,,,,,,,,,,,,,,,,,,,
Week 3 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Racer,1,0,205,0,1,0,3,500,,,,,,,,,,,,,,,,,,,,,,
ClayBagel,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Whiffles,1,0,195,1,0,0,3,500,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,500,2,2,3,3,,,,,,,,,,,,,,,,,,,,,,,
Week 3 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Racer,5,4,1865,12,5,4,21,1945,,,,,,,,,,,,,,,,,,,,,,
ClayBagel,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Whiffles,5,4,1965,10,9,2,22,1945,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,1,1945,6,4,13,16,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Racer,1,0,150,0,0,0,2,445,,,,,,,,,,,,,,,,,,,,,,
ClayBagel,1,0,140,1,0,0,1,445,,,,,,,,,,,,,,,,,,,,,,
MiiGus,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,445,2,1,0,4,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Racer,1,0,395,1,1,4,3,545,,,,,,,,,,,,,,,,,,,,,,
ClayBagel,1,0,140,1,0,1,1,545,,,,,,,,,,,,,,,,,,,,,,
MiiGus,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,545,3,1,1,8,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Racer,1,0,395,2,0,0,7,745,,,,,,,,,,,,,,,,,,,,,,
ClayBagel,1,0,130,0,0,0,4,745,,,,,,,,,,,,,,,,,,,,,,
MiiGus,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,745,3,1,7,1,,,,,,,,,,,,,,,,,,,,,,,
