Week 1 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,Player Totals,Played,Win,Score,Goals,Assists,Saves,Shots,Score/A,Sc/G,G/G,A/G,Sv/G,Sh/G,GA/G,ShA/G,ScA/G,ARS/G,Win%,Sh%,Sv%
Springy,1,1,725,5,3,1,7,455,,Springy,35,27,11185,66,35,33,129,16410,319.5714286,1.885714286,1,0.9428571429,3.685714286,1.971428571,4.857142857,234.4285714,85.14285714,0.7714285714,0.511627907,
SithDroid,,,,,,,,0,,SithDroid,35,17,10080,47,23,49,109,21225,288,1.342857143,0.6571428571,1.4,3.114285714,2.771428571,6.714285714,303.2142857,-15.21428571,0.4857142857,0.4311926606,
Dur,1,1,595,4,4,0,9,455,,Dur,30,18,7845,38,22,29,92,14745,261.5,1.266666667,0.7333333333,0.9666666667,3.066666667,2.066666667,5.566666667,245.75,15.75,0.6,0.4130434783,
Opposition,1,0,455,1,0,8,2,,,Opposition,50,19,26190,114,57,133,286,0,523.8,2.28,1.14,2.66,5.72,,,,-58.4,0.38,0.3986013986,
Week 1 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,Team,50,31,29110,151,80,111,330,26190,582.2,3.02,1.6,2.22,6.6,2.28,5.72,523.8,58.4,0.62,0.4575757576,0.3881118881
Springy,1,1,285,2,1,1,5,240,,,,,,,,,,,,,,,,,,,,,,
SithDroid,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Dur,1,1,435,3,0,0,4,240,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,240,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,
Week 1 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Springy,1,1,240,1,1,0,4,345,,,,,,,,,,,,,,,,,,,,,,
SithDroid,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Dur,1,1,370,2,1,0,5,345,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,345,2,0,2,3,,,,,,,,,,,,,,,,,,,,,,,
Week 1 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Springy,1,0,220,1,0,1,4,545,,,,,,,,,,,,,,,,,,,,,,
SithDroid,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Dur,1,0,200,0,0,0,7,545,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,545,2,1,5,4,,,,,,,,,,,,,,,,,,,,,,,
Week 1 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Springy,1,1,690,6,0,2,7,610,,,,,,,,,,,,,,,,,,,,,,
SithDroid,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Dur,1,1,280,1,2,0,3,610,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,610,3,3,3,7,,,,,,,,,,,,,,,,,,,,,,,
Week 1 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Springy,5,4,2160,15,5,5,27,2195,,,,,,,,,,,,,,,,,,,,,,
SithDroid,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Dur,5,4,1880,10,7,0,28,2195,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,1,2195,9,5,19,18,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 2 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Springy,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
SithDroid,1,0,225,1,0,2,1,790,,,,,,,,,,,,,,,,,,,,,,
Dur,1,0,130,0,0,1,0,790,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,790,5,2,1,10,,,,,,,,,,,,,,,,,,,,,,,
Week 2 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Springy,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
SithDroid,1,1,370,1,2,2,3,425,,,,,,,,,,,,,,,,,,,,,,
Dur,1,1,300,2,0,2,3,425,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,425,1,1,0,9,,,,,,,,,,,,,,,,,,,,,,,
