Week 1 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,Player Totals,Played,Win,Score,Goals,Assists,Saves,Shots,Score/A,Sc/G,G/G,A/G,Sv/G,Sh/G,GA/G,ShA/G,ScA/G,ARS/G,Win%,Sh%,Sv%
Deadshot,1,1,150,0,1,1,0,380,,Kend0,30,17,8785,52,14,43,97,14450,292.8333333,1.733333333,0.4666666667,1.433333333,3.233333333,2.433333333,5.733333333,240.8333333,52,0.5666666667,0.5360824742,
Maj3stikMoose,1,1,515,3,0,3,5,380,,Maj3stikMoose,35,21,14075,75,19,50,159,16820,402.1428571,2.142857143,0.5428571429,1.428571429,4.542857143,2.342857143,5.314285714,240.2857143,161.8571429,0.6,0.4716981132,
NinjaRider,,,,,,,,0,,Goose,10,3,1140,2,4,8,11,6505,114,0.2,0.4,0.8,1.1,3.3,7.4,325.25,-211.25,0.3,0.1818181818,
Opposition,1,0,380,1,1,1,6,,,Opposition,50,22,25890,128,63,102,297,0,517.8,2.56,1.26,2.04,5.94,,,,-71.3,0.44,0.430976431,
Week 1 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,Team,50,28,29455,151,54,132,322,25890,589.1,3.02,1.08,2.64,6.44,2.56,5.94,517.8,71.3,0.56,0.4689440994,0.4444444444
Deadshot,1,1,360,1,1,3,3,645,,Former Players,Played,Win,Score,Goals,Assists,Saves,Shots,Score/A,Sc/G,G/G,A/G,Sv/G,Sh/G,GA/G,ShA/G,ScA/G,ARS/G,Win%,Sh%,Sv%
Maj3stikMoose,1,1,470,4,0,1,5,645,,Deadshot,5,3,1300,3,5,7,11,2985,260,0.6,1,1.4,2.2,1.8,5.2,206,54,0.6,0.2727272727,
NinjaRider,,,,,,,,0,,NinjaRider,20,12,4155,19,12,24,44,11020,207.75,0.95,0.6,1.2,2.2,2.75,6.5,275.5,-67.75,0.6,0.4318181818,
Opposition,1,0,645,4,1,1,9,,,,,,,,,,,,,,,,,,,,,,,
Week 1 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Deadshot,1,0,270,1,0,1,3,575,,,,,,,,,,,,,,,,,,,,,,
Maj3stikMoose,1,0,120,0,0,0,2,575,,,,,,,,,,,,,,,,,,,,,,
NinjaRider,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,575,3,2,2,4,,,,,,,,,,,,,,,,,,,,,,,
Week 1 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Deadshot,1,0,280,1,2,0,3,970,,,,,,,,,,,,,,,,,,,,,,
Maj3stikMoose,1,0,495,2,0,3,5,970,,,,,,,,,,,,,,,,,,,,,,
NinjaRider,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,970,4,2,4,9,,,,,,,,,,,,,,,,,,,,,,,
Week 1 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Deadshot,1,1,240,0,1,2,2,415,,,,,,,,,,,,,,,,,,,,,,
Maj3stikMoose,1,1,545,4,0,0,4,415,,,,,,,,,,,,,,,,,,,,,,
NinjaRider,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
