Week 1 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,Player Totals,Played,Win,Score,Goals,Assists,Saves,Shots,Score/A,Sc/G,G/G,A/G,Sv/G,Sh/G,GA/G,ShA/G,ScA/G,ARS/G,Win%,Sh%,Sv%
Pfcsipe,1,0,200,0,1,2,2,670,,Pfcsipe,30,12,7105,34,13,32,81,15655,236.8333333,1.133333333,0.4333333333,1.066666667,2.7,2.566666667,5.866666667,260.9166667,-24.08333333,0.4,0.4197530864,
Fry,,,,,,,,0,,Fry,35,16,10565,47,18,32,127,18545,301.8571429,1.342857143,0.5142857143,0.9142857143,3.628571429,2.514285714,6.114285714,264.9285714,36.92857143,0.4571428571,0.3700787402,
Azorh,1,0,370,3,0,1,4,670,,Azorh,35,10,8275,28,21,57,74,20100,236.4285714,0.8,0.6,1.628571429,2.114285714,2.828571429,6.457142857,287.1428571,-50.71428571,0.2857142857,0.3783783784,
Opposition,1,1,670,4,3,2,7,,,Opposition,50,31,27150,132,44,119,308,0,543,2.64,0.88,2.38,6.16,,,,24.1,0.62,0.4285714286,
Week 1 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,Team,50,19,25945,109,52,121,282,27150,518.9,2.18,1.04,2.42,5.64,2.64,6.16,543,-24.1,0.38,0.3865248227,0.3928571429
Pfcsipe,1,0,210,1,0,1,4,515,,,,,,,,,,,,,,,,,,,,,,
Fry,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Azorh,1,0,270,0,1,5,1,515,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,515,3,1,2,8,,,,,,,,,,,,,,,,,,,,,,,
Week 1 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Pfcsipe,1,0,235,2,0,0,3,675,,,,,,,,,,,,,,,,,,,,,,
Fry,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Azorh,1,0,250,0,1,3,1,675,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,675,3,2,1,8,,,,,,,,,,,,,,,,,,,,,,,
Week 1 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Pfcsipe,1,0,320,2,1,1,3,780,,,,,,,,,,,,,,,,,,,,,,
Fry,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Azorh,1,0,410,2,2,2,3,780,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,780,5,2,2,8,,,,,,,,,,,,,,,,,,,,,,,
Week 1 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Pfcsipe,1,0,150,0,0,2,1,315,,,,,,,,,,,,,,,,,,,,,,
Fry,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Azorh,1,0,85,0,0,1,0,315,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,315,1,0,0,5,,,,,,,,,,,,,,,,,,,,,,,
Week 1 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Pfcsipe,5,0,1115,5,2,6,13,2955,,,,,,,,,,,,,,,,,,,,,,
Fry,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Azorh,5,0,1385,5,4,12,9,2955,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,5,2955,16,8,7,36,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 2 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Pfcsipe,1,1,215,1,0,3,1,290,,,,,,,,,,,,,,,,,,,,,,
Fry,1,1,155,0,1,1,0,290,,,,,,,,,,,,,,,,,,,,,,
Azorh,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,290,0,0,1,5,,,,,,,,,,,,,,,,,,,,,,,
Week 2 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Pfcsipe,1,0,160,0,1,1,2,630,,,,,,,,,,,,,,,,,,,,,,
Fry,1,0,280,1,0,1,4,630,,,,,,,,,,,,,,,,,,,,,,
Azorh,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,630,5,0,1,8,,,,,,,,,,,,,,,,,,,,,,,
Week 2 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Pfcsipe,1,1,150,0,1,0,0,255,,,,,,,,,,,,,,,,,,,,,,
Fry,1,1,235,2,0,0,3,255,,,,,,,,,,,,,,,,,,,,,,
Azorh,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,255,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,
Week 2 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Pfcsipe,1,1,355,1,2,3,2,555,,,,,,,,,,,,,,,,,,,,,,
Fry,1,1,515,3,1,1,10,555,,,,,,,,,,,,,,,,,,,,,,
Azorh,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,555,3,0,2,9,,,,,,,,,,,,,,,,,,,,,,,
Week 2 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Pfcsipe,1,1,325,2,1,0,4,470,,,,,,,,,,,,,,,,,,,,,,
Fry,1,1,255,1,1,0,4,470,,,,,,,,,,,,,,,,,,,,,,
Azorh,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,470,2,1,4,3,,,,,,,,,,,,,,,,,,,,,,,
Week 2 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Pfcsipe,5,4,1205,4,5,7,9,2200,,,,,,,,,,,,,,,,,,,,,,
Fry,5,4,1440,7,3,3,21,2200,,,,,,,,,,,,,,,,,,,,,,
Azorh,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,1,2200,10,1,9,26,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 3 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Pfcsipe,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Fry,1,0,220,1,0,1,2,710,,,,,,,,,,,,,,,,,,,,,,
Azorh,1,0,280,0,1,4,3,710,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,710,4,1,2,10,,,,,,,,,,,,,,,,,,,,,,,
Week 3 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Pfcsipe,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Fry,1,0,150,0,1,1,1,765,,,,,,,,,,,,,,,,,,,,,,
Azorh,1,0,330,3,0,0,4,765,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,765,4,3,2,7,,,,,,,,,,,,,,,,,,,,,,,
Week 3 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Pfcsipe,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Fry,1,0,85,0,0,1,0,625,,,,,,,,,,,,,,,,,,,,,,
Azorh,1,0,225,0,0,3,2,625,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,625,3,1,2,10,,,,,,,,,,,,,,,,,,,,,,,
Week 3 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Pfcsipe,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Fry,1,1,305,1,1,2,3,270,,,,,,,,,,,,,,,,,,,,,,
Azorh,1,1,225,1,1,1,2,270,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,270,0,0,2,4,,,,,,,,,,,,,,,,,,,,,,,
Week 3 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Pfcsipe,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Fry,1,0,280,1,1,1,2,620,,,,,,,,,,,,,,,,,,,,,,
Azorh,1,0,245,1,0,2,1,620,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,620,3,1,1,8,,,,,,,,,,,,,,,,,,,,,,,
Week 3 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Pfcsipe,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Fry,5,1,1040,3,3,6,8,2990,,,,,,,,,,,,,,,,,,,,,,
Azorh,5,1,1305,5,2,10,12,2990,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,4,2990,14,6,9,39,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Pfcsipe,1,0,285,1,0,3,3,605,,,,,,,,,,,,,,,,,,,,,,
Fry,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Azorh,1,0,155,0,1,0,2,605,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,605,2,1,5,5,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Pfcsipe,1,0,325,2,2,0,3,755,,,,,,,,,,,,,,,,,,,,,,
Fry,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Azorh,1,0,305,2,1,2,2,755,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,755,6,2,0,9,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Pfcsipe,1,0,220,1,0,1,3,710,,,,,,,,,,,,,,,,,,,,,,
Fry,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Azorh,1,0,245,2,0,1,3,710,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,710,5,3,1,8,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Pfcsipe,1,0,160,0,0,1,2,785,,,,,,,,,,,,,,,,,,,,,,
Fry,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Azorh,1,0,105,0,0,0,1,785,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,785,5,1,3,9,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Pfcsipe,1,0,115,0,0,0,2,645,,,,,,,,,,,,,,,,,,,,,,
Fry,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Azorh,1,0,260,1,0,2,2,645,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,645,2,1,4,7,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
