Player,Goals For,Goals Against
MapleSurrup,93,85
Barry Allen,69,73
ballena,103,92
Krops,81,76
Iguane Fabuleux,84,69
Jimmer,71,102
Jdaaab,28,31
iP JoKeR,17,15
SmilezRL,56,78
Giant,65,84
Kou,73,56
Bloop,38,48
Icey6,62,92
Craymin,48,68
JKmadness,22,29
Seanner,101,98
TestGravity,129,67
uh steve,55,68
cashioc,10,16
Satsz,32,31
Gumbachi,132,65
Mattybananas,99,53
Unborn,67,99
Tagmata,73,98
TosCrazy,57,65
Achieves,59,50
Letsgobluh,82,75
Saucey,83,71
Ato.,85,67
Mage,68,52
Lotty Lettuce,89,54
Will,59,40
Tater,76,67
Taki,81,80
hiroH,41,84
HersheyRL,83,72
Apple,53,67
StarFax,24,48
Kunics,62,54
kccolts81,102,83
We take Ls,106,113
NovaCainRL,37,59
JustTuck,85,63
isosolo,55,51
BraidedAxe,64,59
Antzu,69,80
Minamacky,78,82
InanimateJ,73,98
Cearu,98,74
veets,86,65
Jakester,63,65
Saucy.,60,75
crossfire8255,60,53
Reverse Fridge,85,62
Wyyzard,68,48
dan720,93,75
Oni,91,92
SillyBunny,95,91
Lundo,49,59
Luke_Rocks,72,92
Ajax,33,56
RED,95,100
Other Ninja,43,56
Scoobert Doobert,71,77
Peabs,52,44
Jab,24,34
Zack,103,66
Haimgame,76,51
Bolio,86,64
KittenDuck,85,84
henrY,33,24
Laff,27,27
Prosperity2K,62,89
Toonifisch,36,49
Jack Colt,23,35
BlueMars2,59,87
Vitali,63,65
Zayo,77,56
Sinnicole,90,61
thomas,14,22
GOYO,76,53
Pops,97,57
oogga,77,77
PuffTheDargon,69,81
Korluss,57,63
Giraffegirl,30,81
Stovvadz,89,45
KILT,58,53
Cali,82,100
TrashVan,75,59
Seven,47,72
ImBad,47,79
Tunloink,82,82
C^2,60,81
snip,76,64
bits,81,66
RainbowNoms,93,106
El Diablo Rojo,93,69
Twigler,55,84
W/\\/E,81,80
Not Juice,88,67
Cedric,50,39
synthex,81,87
Panda,11,16
Lad,59,63
dog,89,72
ohmeon,38,66
Blazed,51,81
Uorodin,64,42
Grizz1y,32,34
CashioC,9,14
Jdubbz,49,34
GodraciR,60,46
Spork,53,65
Plumato,61,80
Koalemos,70,68
SirGamble,67,65
Smurf,98,82
Erayne,58,54
Majik,86,83
Whiffles,34,68
Keltini,80,49
Red Line,87,52
UnearthlyLegend,41,68
Dtr,24,57
Y-Low,13,13
Anömäly,6,16
Zuberite,6,16
Mike MMI,41,59
Lex,49,53
TyTy,22,20
MattRochie,98,53
easy359,49,39
Shazzy,29,36
Pletheros,14,16
AcePocket,24,25
Lutvara,67,44
sgtmc50cal,28,25
Sparcnova,25,11
JO3_YOUN9,5,17
,0,3
cahewa,46,52
Rolo,28,34
Maseface26,35,28
Deluxe,58,32
Bacon,15,16
Kaito,51,53
Jet,15,30
Velero,21,41
Scapegoat,69,42
Hopper,33,31
Big Boi Johnny,15,21
Baker,15,20
Typhon,12,29
Rascel,5,24
GoodNeighbor,29,26
Bones,14,19
Volts,27,27
Taelo,13,17
Moosey,17,13
Ezra,8,31
Descend,8,31
ZavaZ86,17,27
Nobody Special,11,22
Kordova-_-,10,23
