Player,Goals
MapleSurrup,55
Barry Allen,33
ballena,56
Krops,32
Iguane Fabuleux,42
Jimmer,33
Jdaaab,19
iP JoKeR,6
SmilezRL,26
Giant,28
Kou,34
Bloop,19
Icey6,31
Craymin,22
JKmadness,8
Seanner,53
TestGravity,86
uh steve,20
cashioc,7
Satsz,13
Gumbachi,78
Mattybananas,50
Unborn,38
Tagmata,47
TosCrazy,27
Achieves,24
Letsgobluh,43
Saucey,32
Ato.,52
Mage,27
Lotty Lettuce,58
Will,26
Tater,50
Taki,36
hiroH,24
HersheyRL,45
Apple,22
StarFax,12
Kunics,31
kccolts81,61
We take Ls,61
NovaCainRL,14
JustTuck,43
isosolo,25
BraidedAxe,40
Antzu,29
Minamacky,41
InanimateJ,29
Cearu,48
veets,40
Jakester,29
Saucy.,27
crossfire8255,23
Reverse Fridge,37
Wyyzard,35
dan720,47
Oni,54
SillyBunny,38
Lundo,27
Luke_Rocks,41
Ajax,13
RED,49
Other Ninja,25
Scoobert Doobert,32
Peabs,29
Jab,14
Zack,63
Haimgame,32
Bolio,47
KittenDuck,46
henrY,14
Laff,16
Prosperity2K,33
Toonifisch,22
Jack Colt,11
BlueMars2,29
Vitali,39
Zayo,39
Sinnicole,53
thomas,4
GOYO,35
Pops,39
oogga,46
PuffTheDargon,32
Korluss,24
Giraffegirl,9
Stovvadz,36
KILT,31
Cali,40
TrashVan,28
Seven,26
ImBad,11
Tunloink,39
C^2,28
snip,38
bits,49
RainbowNoms,50
El Diablo Rojo,47
Twigler,22
W/\\/E,40
Not Juice,42
Cedric,25
synthex,46
Panda,3
Lad,26
dog,45
ohmeon,23
Blazed,17
Uorodin,30
Grizz1y,22
CashioC,4
Jdubbz,19
GodraciR,20
Spork,26
Plumato,22
Koalemos,30
SirGamble,27
Smurf,60
Erayne,41
Majik,46
Whiffles,14
Keltini,48
Red Line,44
UnearthlyLegend,16
Dtr,10
Y-Low,5
Anömäly,3
Zuberite,3
Mike MMI,14
Lex,29
TyTy,9
MattRochie,46
easy359,26
Shazzy,17
Pletheros,6
AcePocket,10
Lutvara,41
sgtmc50cal,14
Sparcnova,8
JO3_YOUN9,0
0,0
cahewa,23
Rolo,5
Maseface26,14
Deluxe,35
Bacon,8
Kaito,29
Jet,7
Velero,9
Scapegoat,33
Hopper,15
Big Boi Johnny,4
Baker,6
Typhon,8
Rascel,3
GoodNeighbor,18
Bones,8
Volts,18
Taelo,7
Moosey,7
Ezra,4
Descend,4
ZavaZ86,7
Nobody Special,5
Kordova-_-,4
