Week 1 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,Player Totals,Played,Win,Score,Goals,Assists,Saves,Shots,Score/A,Sc/G,G/G,A/G,Sv/G,Sh/G,GA/G,ShA/G,ScA/G,ARS/G,Win%,Sh%,Sv%
Capsfan,1,0,320,1,0,5,2,1320,,Capsfan,35,13,8895,44,14,43,106,21715,254.1428571,1.257142857,0.4,1.228571429,3.028571429,3.028571429,6.6,310.2142857,-56.07142857,0.3714285714,0.4150943396,
Patabread,,,,,,,,0,,Patabread,35,10,7155,29,11,36,90,17230,204.4285714,0.8285714286,0.3142857143,1.028571429,2.571428571,2.4,4.828571429,246.1428571,-41.71428571,0.2857142857,0.3222222222,
Ravensfan,1,0,135,0,0,3,0,1320,,Ravensfan,30,9,3170,9,10,21,39,13685,105.6666667,0.3,0.3333333333,0.7,1.3,2.6,4.733333333,228.0833333,-122.4166667,0.3,0.2307692308,
Opposition,1,1,1320,9,7,1,16,,,Opposition,50,34,26315,134,63,120,271,0,526.3,2.68,1.26,2.4,5.42,,,,141.9,0.68,0.4944649446,
Week 1 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,Team,50,16,19220,82,35,100,235,26315,384.4,1.64,0.7,2,4.7,2.68,5.42,526.3,-141.9,0.32,0.3489361702,0.36900369
Capsfan,1,0,135,1,0,1,1,720,,,,,,,,,,,,,,,,,,,,,,
Patabread,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Ravensfan,1,0,105,0,1,0,1,720,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,720,5,1,1,9,,,,,,,,,,,,,,,,,,,,,,,
Week 1 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Capsfan,1,0,285,2,0,1,3,610,,,,,,,,,,,,,,,,,,,,,,
Patabread,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Ravensfan,1,0,60,0,0,1,0,610,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,610,3,2,0,9,,,,,,,,,,,,,,,,,,,,,,,
