Week 1 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,Player Totals,Played,Win,Score,Goals,Assists,Saves,Shots,Score/A,Sc/G,G/G,A/G,Sv/G,Sh/G,GA/G,ShA/G,ScA/G,ARS/G,Win%,Sh%,Sv%
KyleTheMurphy,1,0,145,0,0,1,1,680,,KyleTheMurphy,35,21,7870,36,26,32,82,21000,224.8571429,1.028571429,0.7428571429,0.9142857143,2.342857143,2.771428571,5.914285714,300,-75.14285714,0.6,0.4390243902,
TheHamBurglar,1,0,130,0,0,0,2,680,,TheHamBurglar,30,12,5940,30,13,23,75,20730,198,1,0.4333333333,0.7666666667,2.5,3.466666667,6.833333333,345.5,-147.5,0.4,0.4,
Manatee,,,,,,,,0,,Manatee,35,23,14455,72,18,51,158,20700,413,2.057142857,0.5142857143,1.457142857,4.514285714,2.428571429,5.657142857,295.7142857,117.2857143,0.6571428571,0.4556962025,
Opposition,1,1,680,3,1,3,8,,,Opposition,50,22,31215,143,62,150,305,0,624.3,2.86,1.24,3,6.1,,,,59,0.44,0.468852459,
Week 1 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,Team,50,28,28265,138,57,106,315,31215,565.3,2.76,1.14,2.12,6.3,2.86,6.1,624.3,-59,0.56,0.4380952381,0.3475409836
KyleTheMurphy,1,1,425,4,0,0,5,795,,,,,,,,,,,,,,,,,,,,,,
TheHamBurglar,1,1,225,1,1,1,5,795,,,,,,,,,,,,,,,,,,,,,,
Manatee,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,795,4,5,5,5,,,,,,,,,,,,,,,,,,,,,,,
Week 1 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
KyleTheMurphy,1,0,135,0,0,0,5,795,,,,,,,,,,,,,,,,,,,,,,
TheHamBurglar,1,0,105,0,0,0,1,795,,,,,,,,,,,,,,,,,,,,,,
Manatee,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,795,3,3,5,3,,,,,,,,,,,,,,,,,,,,,,,
Week 1 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
KyleTheMurphy,1,1,150,1,0,0,2,635,,,,,,,,,,,,,,,,,,,,,,
TheHamBurglar,1,1,435,4,0,0,4,635,,,,,,,,,,,,,,,,,,,,,,
Manatee,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,635,4,0,1,5,,,,,,,,,,,,,,,,,,,,,,,
Week 1 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
KyleTheMurphy,1,1,210,1,0,0,3,250,,,,,,,,,,,,,,,,,,,,,,
TheHamBurglar,1,1,105,0,1,1,1,250,,,,,,,,,,,,,,,,,,,,,,
Manatee,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,250,0,0,1,4,,,,,,,,,,,,,,,,,,,,,,,
Week 1 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
KyleTheMurphy,5,3,1065,6,0,1,16,3155,,,,,,,,,,,,,,,,,,,,,,
TheHamBurglar,5,3,1000,5,2,2,13,3155,,,,,,,,,,,,,,,,,,,,,,
Manatee,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,2,3155,14,9,15,25,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 2 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
KyleTheMurphy,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
TheHamBurglar,1,1,255,2,1,1,2,540,,,,,,,,,,,,,,,,,,,,,,
