Week 1 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,Player Totals,Played,Win,Score,Goals,Assists,Saves,Shots,Score/A,Sc/G,G/G,A/G,Sv/G,Sh/G,GA/G,ShA/G,ScA/G,ARS/G,Win%,Sh%,Sv%
Bondo,1,1,445,2,0,3,6,435,,Bondo,35,15,10765,51,24,39,121,22575,307.5714286,1.457142857,0.6857142857,1.114285714,3.457142857,3.257142857,6.514285714,322.5,-14.92857143,0.4285714286,0.4214876033,
Junior,,,,,,,,0,,Junior,35,22,13730,76,21,41,156,19255,392.2857143,2.171428571,0.6,1.171428571,4.457142857,2.371428571,5.457142857,275.0714286,117.2142857,0.6285714286,0.4871794872,
Ares,1,1,125,0,0,0,1,435,,Ares,30,15,6270,19,22,35,68,17430,209,0.6333333333,0.7333333333,1.166666667,2.266666667,2.633333333,6.166666667,290.5,-81.5,0.5,0.2794117647,
Opposition,1,0,435,1,0,3,5,,,Opposition,50,24,29630,138,69,148,302,0,592.6,2.76,1.38,2.96,6.04,,,,-22.7,0.48,0.4569536424,
Week 1 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,Team,50,26,30765,146,67,115,345,29630,615.3,2.92,1.34,2.3,6.9,2.76,6.04,592.6,22.7,0.52,0.4231884058,0.380794702
Bondo,1,1,530,3,0,4,3,450,,,,,,,,,,,,,,,,,,,,,,
Junior,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Ares,1,1,185,0,2,1,1,450,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,450,1,0,2,7,,,,,,,,,,,,,,,,,,,,,,,
Week 1 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Bondo,1,0,390,1,0,0,7,845,,,,,,,,,,,,,,,,,,,,,,
Junior,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Ares,1,0,450,0,1,6,3,845,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,845,2,1,5,9,,,,,,,,,,,,,,,,,,,,,,,
Week 1 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
