Week 1 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,Player Totals,Played,Win,Score,Goals,Assists,Saves,Shots,Score/A,Sc/G,G/G,A/G,Sv/G,Sh/G,GA/G,ShA/G,ScA/G,ARS/G,Win%,Sh%,Sv%
Pizzaman,1,0,120,0,1,0,1,480,,Texas_21_Ace,15,3,3085,10,5,21,34,10420,205.6666667,0.6666666667,0.3333333333,1.4,2.266666667,3.533333333,8.066666667,347.3333333,-141.6666667,0.2,0.2941176471,
Doshkin,1,0,250,1,0,2,3,480,,brainiak005,5,2,1660,7,1,6,19,2925,332,1.4,0.2,1.2,3.8,2,5.8,585,-253,0.4,0.3684210526,
Frosty,,,,,,,,0,,TheGitarLegend,15,1,3620,14,7,24,36,10930,241.3333333,0.9333333333,0.4666666667,1.6,2.4,4.333333333,8.6,364.3333333,-123,0.06666666667,0.3888888889,
Opposition,1,1,480,2,1,0,7,,,Opposition,50,36,33230,180,89,93,382,0,664.6,3.6,1.78,1.86,7.64,,,,207.1,0.72,0.4712041885,
Week 1 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,Team,50,13,22875,87,46,130,226,33230,457.5,1.74,0.92,2.6,4.52,3.6,7.64,664.6,-207.1,0.26,0.3849557522,0.3403141361
Pizzaman,1,0,110,0,1,1,0,565,,Former Players,Played,Win,Score,Goals,Assists,Saves,Shots,Score/A,Sc/G,G/G,A/G,Sv/G,Sh/G,GA/G,ShA/G,ScA/G,ARS/G,Win%,Sh%,Sv%
Doshkin,1,0,240,1,0,2,3,565,,Pizzaman,20,5,3175,12,7,22,29,14045,158.75,0.6,0.35,1.1,1.45,4.05,8.4,351.125,-192.375,0.25,0.4137931034,
Frosty,,,,,,,,0,,Frosty,15,5,4080,15,10,20,39,9225,272,1,0.6666666667,1.333333333,2.6,3.2,6.866666667,307.5,-35.5,0.3333333333,0.3846153846,
Opposition,1,1,565,2,1,1,8,,,Doshkin,30,10,7255,29,16,37,69,18915,241.8333333,0.9666666667,0.5333333333,1.233333333,2.3,3.433333333,7.133333333,315.25,-73.41666667,0.3333333333,0.4202898551,
Week 1 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Pizzaman,1,1,155,1,0,0,3,260,,,,,,,,,,,,,,,,,,,,,,
Doshkin,1,1,250,0,1,1,1,260,,,,,,,,,,,,,,,,,,,,,,
Frosty,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,260,0,0,2,2,,,,,,,,,,,,,,,,,,,,,,,
Week 1 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Pizzaman,1,1,235,1,2,2,3,515,,,,,,,,,,,,,,,,,,,,,,
Doshkin,1,1,555,4,1,1,6,515,,,,,,,,,,,,,,,,,,,,,,
Frosty,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,515,2,2,3,7,,,,,,,,,,,,,,,,,,,,,,,
Week 1 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Pizzaman,1,1,135,1,0,1,0,445,,,,,,,,,,,,,,,,,,,,,,
Doshkin,1,1,490,3,1,1,5,445,,,,,,,,,,,,,,,,,,,,,,
Frosty,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,445,3,2,0,5,,,,,,,,,,,,,,,,,,,,,,,
Week 1 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Pizzaman,5,3,755,3,4,4,7,2265,,,,,,,,,,,,,,,,,,,,,,
Doshkin,5,3,1785,9,3,7,18,2265,,,,,,,,,,,,,,,,,,,,,,
