Week 1 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,Player Totals,Played,Win,Score,Goals,Assists,Saves,Shots,Score/A,Sc/G,G/G,A/G,Sv/G,Sh/G,GA/G,ShA/G,ScA/G,ARS/G,Win%,Sh%,Sv%
Krodville,1,0,220,0,0,3,1,570,,Krodville,30,13,8805,43,21,41,98,19325,293.5,1.433333333,0.7,1.366666667,3.266666667,3,7.333333333,322.0833333,-28.58333333,0.4333333333,0.4387755102,
El Fuego,1,0,215,1,0,0,4,570,,Brix,25,20,9380,49,21,33,105,11580,375.2,1.96,0.84,1.32,4.2,2,4.88,231.6,143.6,0.8,0.4666666667,
Mythonian,,,,,,,,0,,Mythonian,35,21,11400,65,20,42,120,19585,325.7142857,1.857142857,0.5714285714,1.2,3.428571429,2.6,5.8,279.7857143,45.92857143,0.6,0.5416666667,
Opposition,1,1,570,2,0,3,7,,,Opposition,50,22,28970,134,62,124,316,0,579.4,2.68,1.24,2.48,6.32,,,,-61.1,0.44,0.4240506329,
Week 1 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,Team,50,28,32025,168,66,131,353,28970,640.5,3.36,1.32,2.62,7.06,2.68,6.32,579.4,61.1,0.56,0.4759206799,0.414556962
Krodville,1,0,275,1,0,1,4,715,,Former Players,Played,Win,Score,Goals,Assists,Saves,Shots,Score/A,Sc/G,G/G,A/G,Sv/G,Sh/G,GA/G,ShA/G,ScA/G,ARS/G,Win%,Sh%,
El Fuego,1,0,175,0,0,1,3,715,,El Fuego,10,2,2440,11,4,15,30,7450,244,1.1,0.4,1.5,3,3.7,8.7,372.5,-128.5,0.2,0.3666666667,
Mythonian,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,715,3,2,5,4,,,,,,,,,,,,,,,,,,,,,,,
Week 1 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Krodville,1,1,395,2,0,2,4,840,,,,,,,,,,,,,,,,,,,,,,
El Fuego,1,1,450,0,1,3,5,840,,,,,,,,,,,,,,,,,,,,,,
Mythonian,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,840,1,1,6,10,,,,,,,,,,,,,,,,,,,,,,,
Week 1 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Krodville,1,0,275,1,0,4,1,625,,,,,,,,,,,,,,,,,,,,,,
El Fuego,1,0,225,1,0,2,1,625,,,,,,,,,,,,,,,,,,,,,,
Mythonian,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,625,3,0,1,10,,,,,,,,,,,,,,,,,,,,,,,
Week 1 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Krodville,1,1,495,3,0,3,3,465,,,,,,,,,,,,,,,,,,,,,,
El Fuego,1,1,330,1,2,3,2,465,,,,,,,,,,,,,,,,,,,,,,
Mythonian,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,465,2,0,1,10,,,,,,,,,,,,,,,,,,,,,,,
Week 1 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Krodville,5,2,1660,7,0,13,13,3215,,,,,,,,,,,,,,,,,,,,,,
El Fuego,5,2,1395,3,3,9,15,3215,,,,,,,,,,,,,,,,,,,,,,
Mythonian,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
