Week 1 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,Player Totals,Played,Win,Score,Goals,Assists,Saves,Shots,Score/A,Sc/G,G/G,A/G,Sv/G,Sh/G,GA/G,ShA/G,ScA/G,ARS/G,Win%,Sh%,Sv%
Mateo,1,0,235,1,0,0,5,450,,Mateo,35,31,16085,88,35,47,187,16070,459.5714286,2.514285714,1,1.342857143,5.342857143,1.514285714,4.514285714,229.5714286,230,0.8857142857,0.4705882353,
Atomic,,,,,,,,0,,Atomic,35,27,12680,64,33,50,151,16690,362.2857143,1.828571429,0.9428571429,1.428571429,4.314285714,1.628571429,4.857142857,238.4285714,123.8571429,0.7714285714,0.4238410596,
LittleGiant,1,0,145,0,1,1,1,450,,LittleGiant,30,22,9555,47,35,22,96,14140,318.5,1.566666667,1.166666667,0.7333333333,3.2,1.733333333,4.866666667,235.6666667,82.83333333,0.7333333333,0.4895833333,
Opposition,1,1,450,2,0,4,3,,,Opposition,50,10,23450,81,34,156,237,0,469,1.62,0.68,3.12,4.74,,,,-297.4,0.2,0.3417721519,
Week 1 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,Team,50,40,38320,199,103,119,434,23450,766.4,3.98,2.06,2.38,8.68,1.62,4.74,469,297.4,0.8,0.4585253456,0.5021097046
Mateo,1,1,330,1,0,1,6,510,,,,,,,,,,,,,,,,,,,,,,
Atomic,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
LittleGiant,1,1,230,1,0,1,3,510,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,510,1,0,6,4,,,,,,,,,,,,,,,,,,,,,,,
Week 1 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Mateo,1,0,505,3,0,4,4,940,,,,,,,,,,,,,,,,,,,,,,
Atomic,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
LittleGiant,1,0,280,2,0,2,2,940,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,940,6,3,1,12,,,,,,,,,,,,,,,,,,,,,,,
Week 1 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Mateo,1,1,590,4,0,3,6,325,,,,,,,,,,,,,,,,,,,,,,
Atomic,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
LittleGiant,1,1,230,1,1,0,2,325,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,325,1,1,1,5,,,,,,,,,,,,,,,,,,,,,,,
Week 1 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Mateo,1,1,365,2,0,1,4,470,,,,,,,,,,,,,,,,,,,,,,
Atomic,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
