Week 1 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,Player Totals,Played,Win,Score,Goals,Assists,Saves,Shots,Score/A,Sc/G,G/G,A/G,Sv/G,Sh/G,GA/G,ShA/G,ScA/G,ARS/G,Win%,Sh%,Sv%
Wray,,,,,,,,0,,Wray,30,17,10680,57,27,36,127,17665,356,1.9,0.9,1.2,4.233333333,2.566666667,6.3,294.4166667,61.58333333,0.5666666667,0.4488188976,
NinjaR3Bs,1,1,390,3,0,0,5,365,,NinjaR3Bs,35,20,13105,77,21,53,139,19340,374.4285714,2.2,0.6,1.514285714,3.971428571,2.6,6.371428571,276.2857143,98.14285714,0.5714285714,0.5539568345,
Ajgsch,1,1,160,0,2,1,0,365,,Ajgsch,35,23,8335,36,30,41,79,18415,238.1428571,1.028571429,0.8571428571,1.171428571,2.257142857,2.228571429,5.942857143,263.0714286,-24.92857143,0.6571428571,0.4556962025,
Opposition,1,0,365,1,1,2,2,,,Opposition,50,20,27710,123,60,125,310,0,554.2,2.46,1.2,2.5,6.2,,,,-88.2,0.4,0.3967741935,
Week 1 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,Team,50,30,32120,170,78,130,345,27710,642.4,3.4,1.56,2.6,6.9,2.46,6.2,554.2,88.2,0.6,0.4927536232,0.4193548387
Wray,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
NinjaR3Bs,1,0,210,0,0,1,2,390,,,,,,,,,,,,,,,,,,,,,,
Ajgsch,1,0,80,0,0,0,1,390,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,390,1,0,3,2,,,,,,,,,,,,,,,,,,,,,,,
Week 1 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Wray,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
NinjaR3Bs,1,0,305,1,0,2,4,785,,,,,,,,,,,,,,,,,,,,,,
Ajgsch,1,0,195,1,1,0,3,785,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,785,5,3,2,9,,,,,,,,,,,,,,,,,,,,,,,
Week 1 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Wray,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
NinjaR3Bs,1,1,480,3,0,3,5,645,,,,,,,,,,,,,,,,,,,,,,
Ajgsch,1,1,315,2,1,1,2,645,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,645,4,3,1,8,,,,,,,,,,,,,,,,,,,,,,,
Week 1 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Wray,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
NinjaR3Bs,1,0,225,1,0,1,1,530,,,,,,,,,,,,,,,,,,,,,,
Ajgsch,1,0,110,0,0,1,1,530,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,530,4,1,1,6,,,,,,,,,,,,,,,,,,,,,,,
Week 1 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Wray,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
NinjaR3Bs,5,2,1610,8,0,7,17,2715,,,,,,,,,,,,,,,,,,,,,,
Ajgsch,5,2,860,3,4,3,7,2715,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,3,2715,15,8,9,27,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 2 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Wray,1,1,440,2,3,0,4,340,,,,,,,,,,,,,,,,,,,,,,
NinjaR3Bs,1,1,335,3,0,0,6,340,,,,,,,,,,,,,,,,,,,,,,
Ajgsch,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
