Week 1 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,Player Totals,Played,Win,Score,Goals,Assists,Saves,Shots,Score/A,Sc/G,G/G,A/G,Sv/G,Sh/G,GA/G,ShA/G,ScA/G,ARS/G,Win%,Sh%,Sv%
Stumpinator,,,,,,,,0,,Stumpinator,35,22,11525,58,22,33,139,18045,329.2857143,1.657142857,0.6285714286,0.9428571429,3.971428571,2.057142857,5.085714286,257.7857143,71.5,0.6285714286,0.4172661871,
Brax,1,1,395,2,0,2,3,275,,Brax,30,22,7160,31,26,41,71,11785,238.6666667,1.033333333,0.8666666667,1.366666667,2.366666667,1.533333333,4.466666667,196.4166667,42.25,0.7333333333,0.4366197183,
Vex,1,1,285,1,1,1,5,275,,Vex,35,24,9905,48,20,46,105,14300,283,1.371428571,0.5714285714,1.314285714,3,1.714285714,4.971428571,204.2857143,78.71428571,0.6857142857,0.4571428571,
Opposition,1,0,275,0,0,1,3,,,Opposition,50,16,22065,89,31,120,243,0,441.3,1.78,0.62,2.4,4.86,,,,-130.5,0.32,0.366255144,
Week 1 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,Team,50,34,28590,137,68,120,315,22065,571.8,2.74,1.36,2.4,6.3,1.78,4.86,441.3,130.5,0.68,0.4349206349,0.4938271605
Stumpinator,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Brax,1,0,400,1,3,3,1,650,,,,,,,,,,,,,,,,,,,,,,
Vex,1,0,395,3,1,2,4,650,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,650,5,1,1,10,,,,,,,,,,,,,,,,,,,,,,,
Week 1 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Stumpinator,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Brax,1,1,350,0,3,3,0,240,,,,,,,,,,,,,,,,,,,,,,
Vex,1,1,445,3,0,2,3,240,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,240,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,
Week 1 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Stumpinator,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Brax,1,0,180,1,0,0,1,585,,,,,,,,,,,,,,,,,,,,,,
Vex,1,0,455,3,0,1,4,585,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,585,5,0,0,6,,,,,,,,,,,,,,,,,,,,,,,
Week 1 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Stumpinator,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Brax,1,0,160,0,0,1,3,315,,,,,,,,,,,,,,,,,,,,,,
Vex,1,0,90,0,0,0,1,315,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,315,1,1,1,4,,,,,,,,,,,,,,,,,,,,,,,
Week 1 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Stumpinator,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Brax,5,2,1485,4,6,9,8,2065,,,,,,,,,,,,,,,,,,,,,,
Vex,5,2,1670,10,2,6,17,2065,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,3,2065,11,2,3,29,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 2 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Stumpinator,1,1,540,3,0,2,5,270,,,,,,,,,,,,,,,,,,,,,,
Brax,1,1,85,0,1,1,0,270,,,,,,,,,,,,,,,,,,,,,,
