Week 1 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,Player Totals,Played,Win,Score,Goals,Assists,Saves,Shots,Score/A,Sc/G,G/G,A/G,Sv/G,Sh/G,GA/G,ShA/G,ScA/G,ARS/G,Win%,Sh%,Sv%
Cardinal22,1,0,180,0,0,2,5,615,,Cardinal22,30,17,5385,23,26,24,65,14595,179.5,0.7666666667,0.8666666667,0.8,2.166666667,2.266666667,5.533333333,243.25,-63.75,0.5666666667,0.3538461538,
BajadaBeast,1,0,220,0,0,0,1,615,,BajadaBeast,35,25,16210,89,19,45,179,18750,463.1428571,2.542857143,0.5428571429,1.285714286,5.114285714,2.314285714,5.514285714,267.8571429,195.2857143,0.7142857143,0.4972067039,
Pomwonderful,,,,,,,,0,,Pomwonderful,35,24,9505,54,33,51,112,16255,271.5714286,1.542857143,0.9428571429,1.457142857,3.2,2.028571429,5.114285714,232.2142857,39.35714286,0.6857142857,0.4821428571,
Opposition,1,1,615,2,1,5,5,,,Opposition,50,17,24800,110,45,135,269,0,496,2.2,0.9,2.7,5.38,,,,-126,0.34,0.4089219331,
Week 1 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,Team,50,33,31100,166,78,120,356,24800,622,3.32,1.56,2.4,7.12,2.2,5.38,496,126,0.66,0.4662921348,0.4460966543
Cardinal22,1,0,105,0,0,0,3,845,,,,,,,,,,,,,,,,,,,,,,
BajadaBeast,1,0,275,1,0,1,5,845,,,,,,,,,,,,,,,,,,,,,,
Pomwonderful,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,845,5,3,4,8,,,,,,,,,,,,,,,,,,,,,,,
Week 1 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Cardinal22,1,0,180,1,1,0,2,770,,,,,,,,,,,,,,,,,,,,,,
BajadaBeast,1,0,325,1,1,0,4,770,,,,,,,,,,,,,,,,,,,,,,
Pomwonderful,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,770,4,2,4,4,,,,,,,,,,,,,,,,,,,,,,,
Week 1 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Cardinal22,1,1,125,0,1,1,1,475,,,,,,,,,,,,,,,,,,,,,,
BajadaBeast,1,1,580,3,0,1,6,475,,,,,,,,,,,,,,,,,,,,,,
Pomwonderful,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,475,2,0,2,5,,,,,,,,,,,,,,,,,,,,,,,
Week 1 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Cardinal22,1,1,310,2,3,0,3,495,,,,,,,,,,,,,,,,,,,,,,
BajadaBeast,1,1,540,4,0,3,4,495,,,,,,,,,,,,,,,,,,,,,,
Pomwonderful,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,495,3,2,0,8,,,,,,,,,,,,,,,,,,,,,,,
Week 1 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Cardinal22,5,2,900,3,5,3,14,3200,,,,,,,,,,,,,,,,,,,,,,
BajadaBeast,5,2,1940,9,1,5,20,3200,,,,,,,,,,,,,,,,,,,,,,
Pomwonderful,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,3,3200,16,8,15,30,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 2 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Cardinal22,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
BajadaBeast,1,1,505,4,2,1,4,535,,,,,,,,,,,,,,,,,,,,,,
Pomwonderful,1,1,620,4,3,2,5,535,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,535,3,2,1,7,,,,,,,,,,,,,,,,,,,,,,,
Week 2 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Cardinal22,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
BajadaBeast,1,1,340,2,0,1,3,405,,,,,,,,,,,,,,,,,,,,,,
Pomwonderful,1,1,260,1,0,3,1,405,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,405,1,0,2,6,,,,,,,,,,,,,,,,,,,,,,,
Week 2 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Cardinal22,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
BajadaBeast,1,1,505,3,2,0,8,520,,,,,,,,,,,,,,,,,,,,,,
Pomwonderful,1,1,415,3,2,0,6,520,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,520,2,2,6,2,,,,,,,,,,,,,,,,,,,,,,,
Week 2 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Cardinal22,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
BajadaBeast,1,0,115,0,0,0,1,720,,,,,,,,,,,,,,,,,,,,,,
Pomwonderful,1,0,180,1,0,0,2,720,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,720,4,2,2,5,,,,,,,,,,,,,,,,,,,,,,,
Week 2 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Cardinal22,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
BajadaBeast,1,0,245,1,0,0,3,650,,,,,,,,,,,,,,,,,,,,,,
Pomwonderful,1,0,150,0,0,2,4,650,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,650,3,0,5,6,,,,,,,,,,,,,,,,,,,,,,,
Week 2 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Cardinal22,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
BajadaBeast,5,3,1710,10,4,2,19,2830,,,,,,,,,,,,,,,,,,,,,,
Pomwonderful,5,3,1625,9,5,7,18,2830,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,2,2830,13,6,16,26,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 3 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Cardinal22,1,1,240,2,0,1,2,530,,,,,,,,,,,,,,,,,,,,,,
BajadaBeast,1,1,515,0,2,6,3,530,,,,,,,,,,,,,,,,,,,,,,
Pomwonderful,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,530,1,0,3,9,,,,,,,,,,,,,,,,,,,,,,,
Week 3 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Cardinal22,1,1,320,1,1,1,3,750,,,,,,,,,,,,,,,,,,,,,,
BajadaBeast,1,1,805,4,0,3,6,750,,,,,,,,,,,,,,,,,,,,,,
Pomwonderful,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,750,4,2,3,8,,,,,,,,,,,,,,,,,,,,,,,
Week 3 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Cardinal22,1,0,280,0,0,3,4,670,,,,,,,,,,,,,,,,,,,,,,
BajadaBeast,1,0,390,3,0,1,3,670,,,,,,,,,,,,,,,,,,,,,,
Pomwonderful,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,670,4,0,3,9,,,,,,,,,,,,,,,,,,,,,,,
Week 3 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Cardinal22,1,0,240,2,0,0,5,790,,,,,,,,,,,,,,,,,,,,,,
BajadaBeast,1,0,300,1,1,0,4,790,,,,,,,,,,,,,,,,,,,,,,
Pomwonderful,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,790,4,3,5,4,,,,,,,,,,,,,,,,,,,,,,,
Week 3 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Cardinal22,1,0,210,1,1,1,2,715,,,,,,,,,,,,,,,,,,,,,,
BajadaBeast,1,0,470,2,1,3,6,715,,,,,,,,,,,,,,,,,,,,,,
Pomwonderful,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,715,4,3,1,8,,,,,,,,,,,,,,,,,,,,,,,
Week 3 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Cardinal22,5,2,1290,6,2,6,16,3455,,,,,,,,,,,,,,,,,,,,,,
BajadaBeast,5,2,2480,10,4,13,22,3455,,,,,,,,,,,,,,,,,,,,,,
Pomwonderful,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,3,3455,17,8,15,38,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Cardinal22,1,0,215,1,2,1,2,835,,,,,,,,,,,,,,,,,,,,,,
BajadaBeast,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Pomwonderful,1,0,340,2,0,3,3,835,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,835,5,3,2,9,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Cardinal22,1,0,105,1,0,0,2,495,,,,,,,,,,,,,,,,,,,,,,
BajadaBeast,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Pomwonderful,1,0,195,0,1,1,3,495,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,495,2,1,2,5,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Cardinal22,1,1,200,1,1,0,2,430,,,,,,,,,,,,,,,,,,,,,,
BajadaBeast,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Pomwonderful,1,1,515,3,1,4,5,430,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,430,3,0,2,7,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Cardinal22,1,1,150,0,1,1,2,430,,,,,,,,,,,,,,,,,,,,,,
BajadaBeast,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Pomwonderful,1,1,440,3,0,1,5,430,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,430,2,0,2,7,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Cardinal22,1,1,410,1,3,2,4,545,,,,,,,,,,,,,,,,,,,,,,
BajadaBeast,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Pomwonderful,1,1,335,3,0,1,3,545,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,545,3,1,2,8,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Cardinal22,5,3,1080,4,7,4,12,2735,,,,,,,,,,,,,,,,,,,,,,
BajadaBeast,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Pomwonderful,5,3,1825,11,2,10,19,2735,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,2,2735,15,5,10,36,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 5 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Cardinal22,1,0,90,0,0,0,2,895,,,,,,,,,,,,,,,,,,,,,,
BajadaBeast,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Pomwonderful,1,0,305,2,0,2,5,895,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,895,5,2,6,9,,,,,,,,,,,,,,,,,,,,,,,
Week 5 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Cardinal22,1,0,60,0,0,0,2,505,,,,,,,,,,,,,,,,,,,,,,
BajadaBeast,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Pomwonderful,1,0,305,1,0,0,5,505,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,505,2,0,3,2,,,,,,,,,,,,,,,,,,,,,,,
Week 5 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Cardinal22,1,0,75,0,0,0,0,730,,,,,,,,,,,,,,,,,,,,,,
BajadaBeast,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Pomwonderful,1,0,240,1,0,2,5,730,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,730,3,2,4,8,,,,,,,,,,,,,,,,,,,,,,,
Week 5 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Cardinal22,1,0,60,0,0,0,1,430,,,,,,,,,,,,,,,,,,,,,,
BajadaBeast,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Pomwonderful,1,0,255,0,0,4,0,430,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,430,1,0,0,6,,,,,,,,,,,,,,,,,,,,,,,
Week 5 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Cardinal22,1,0,210,1,1,0,2,605,,,,,,,,,,,,,,,,,,,,,,
BajadaBeast,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Pomwonderful,1,0,205,1,1,0,4,605,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,605,3,0,3,5,,,,,,,,,,,,,,,,,,,,,,,
Week 5 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Cardinal22,5,0,495,1,1,0,7,3165,,,,,,,,,,,,,,,,,,,,,,
BajadaBeast,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Pomwonderful,5,0,1310,5,1,8,19,3165,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,5,3165,14,4,16,30,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 6 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Cardinal22,1,1,195,1,1,0,1,305,,,,,,,,,,,,,,,,,,,,,,
BajadaBeast,1,1,580,4,0,1,6,305,,,,,,,,,,,,,,,,,,,,,,
Pomwonderful,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,305,1,1,0,4,,,,,,,,,,,,,,,,,,,,,,,
Week 6 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Cardinal22,1,1,355,1,2,4,3,355,,,,,,,,,,,,,,,,,,,,,,
BajadaBeast,1,1,635,5,1,1,7,355,,,,,,,,,,,,,,,,,,,,,,
Pomwonderful,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,355,1,1,1,7,,,,,,,,,,,,,,,,,,,,,,,
Week 6 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Cardinal22,1,1,275,2,2,1,4,415,,,,,,,,,,,,,,,,,,,,,,
BajadaBeast,1,1,760,5,2,1,9,415,,,,,,,,,,,,,,,,,,,,,,
Pomwonderful,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,415,1,0,6,3,,,,,,,,,,,,,,,,,,,,,,,
Week 6 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Cardinal22,1,1,95,0,0,0,2,380,,,,,,,,,,,,,,,,,,,,,,
BajadaBeast,1,1,690,5,0,1,10,380,,,,,,,,,,,,,,,,,,,,,,
Pomwonderful,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,380,1,0,4,2,,,,,,,,,,,,,,,,,,,,,,,
Week 6 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Cardinal22,1,1,125,0,1,1,1,435,,,,,,,,,,,,,,,,,,,,,,
BajadaBeast,1,1,620,3,0,3,5,435,,,,,,,,,,,,,,,,,,,,,,
Pomwonderful,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,435,2,1,4,6,,,,,,,,,,,,,,,,,,,,,,,
Week 6 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Cardinal22,5,5,1045,4,6,6,11,1890,,,,,,,,,,,,,,,,,,,,,,
BajadaBeast,5,5,3285,22,3,7,37,1890,,,,,,,,,,,,,,,,,,,,,,
Pomwonderful,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,0,1890,6,3,15,22,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 7 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Cardinal22,1,1,115,1,1,1,1,30,,,,,,,,,,,,,,,,,,,,,,
BajadaBeast,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Pomwonderful,1,1,115,1,1,1,1,30,,,,,,,,,,,,,,,,,,,,,,
