Week 1 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,Player Totals,Played,Win,Score,Goals,Assists,Saves,Shots,Score/A,Sc/G,G/G,A/G,Sv/G,Sh/G,GA/G,ShA/G,ScA/G,ARS/G,Win%,Sh%,Sv%
Ptrain,1,1,295,1,1,2,2,425,,Ptrain,35,15,10720,46,13,57,116,21560,306.2857143,1.314285714,0.3714285714,1.628571429,3.314285714,2.971428571,7.228571429,308,-1.714285714,0.4285714286,0.3965517241,
Boydalashra,1,1,205,1,0,1,3,425,,Chayanne,25,9,7895,32,11,48,87,16050,315.8,1.28,0.44,1.92,3.48,3.08,7.8,642,-326.2,0.36,0.367816092,
Infinitas,,,,,,,,0,,brncavalcante,10,4,1560,5,4,11,14,5735,156,0.5,0.4,1.1,1.4,2.6,7.3,286.75,-130.75,0.4,0.3571428571,
Opposition,1,0,425,1,1,3,6,,,Opposition,50,32,31450,154,73,110,378,0,629,3.08,1.46,2.2,7.56,,,,127.7,0.64,0.4074074074,
Week 1 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,Team,50,18,25065,106,36,145,266,31450,501.3,2.12,0.72,2.9,5.32,3.08,7.56,629,-127.7,0.36,0.3984962406,0.3835978836
Ptrain,1,1,320,1,0,1,4,400,,Former Players,Played,Win,Score,Goals,Assists,Saves,Shots,Score/A,Sc/G,G/G,A/G,Sv/G,Sh/G,GA/G,ShA/G,ScA/G,ARS/G,Win%,Sh%,Sv%
Boydalashra,1,1,170,1,0,0,3,400,,Boydalashra,5,4,1405,7,3,6,17,2370,281,1.4,0.6,1.2,3.4,30.8,75.6,474,-193,0.8,0.4117647059,
Infinitas,,,,,,,,0,,Infinitas,20,4,2710,11,5,20,26,13175,135.5,0.55,0.25,1,1.3,3.5,8,329.375,-193.875,0.2,0.4230769231,
Opposition,1,0,400,1,0,2,2,,,OldManBallin26,5,0,775,5,0,3,6,4010,155,1,0,0.6,1.2,4.4,9.6,401,-246,0,0.8333333333,
Week 1 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Ptrain,1,1,290,2,1,0,4,240,,,,,,,,,,,,,,,,,,,,,,
Boydalashra,1,1,380,1,2,3,2,240,,,,,,,,,,,,,,,,,,,,,,
