Week 1 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,Player Totals,Played,Win,Score,Goals,Assists,Saves,Shots,Score/A,Sc/G,G/G,A/G,Sv/G,Sh/G,GA/G,ShA/G,ScA/G,ARS/G,Win%,Sh%,Sv%
BlackHawk,,,,,,,,0,,BlackHawk,35,22,12320,66,31,46,156,19900,352,1.885714286,0.8857142857,1.314285714,4.457142857,2.4,5.628571429,284.2857143,67.71428571,0.6285714286,0.4230769231,
DMRawlings,1,1,215,2,1,0,2,570,,DMRawlings,30,11,4950,20,12,33,49,19675,165,0.6666666667,0.4,1.1,1.633333333,3.333333333,7.366666667,327.9166667,-162.9166667,0.3666666667,0.4081632653,
kcscrag,1,1,455,2,2,2,5,570,,kcscrag,35,21,14055,77,40,41,163,19595,401.5714286,2.2,1.142857143,1.171428571,4.657142857,2.457142857,5.771428571,279.9285714,121.6428571,0.6,0.472392638,
Opposition,1,0,570,3,1,3,6,,,Opposition,50,23,29585,135,70,118,310,0,591.7,2.7,1.4,2.36,6.2,,,,-34.8,0.46,0.435483871,
Week 1 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,Team,50,27,31325,163,83,120,368,29585,626.5,3.26,1.66,2.4,7.36,2.7,6.2,591.7,34.8,0.54,0.4429347826,0.3870967742
BlackHawk,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
DMRawlings,1,1,220,2,0,1,3,480,,,,,,,,,,,,,,,,,,,,,,
kcscrag,1,1,295,1,1,1,5,480,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,480,1,1,6,5,,,,,,,,,,,,,,,,,,,,,,,
Week 1 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
BlackHawk,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
DMRawlings,1,1,190,0,2,1,2,485,,,,,,,,,,,,,,,,,,,,,,
kcscrag,1,1,485,3,0,0,6,485,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,485,2,1,3,4,,,,,,,,,,,,,,,,,,,,,,,
Week 1 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
BlackHawk,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
DMRawlings,1,1,320,2,0,2,4,730,,,,,,,,,,,,,,,,,,,,,,
kcscrag,1,1,460,3,2,0,4,730,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,730,4,3,3,6,,,,,,,,,,,,,,,,,,,,,,,
Week 1 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
