Week 1 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,Player Totals,Played,Win,Score,Goals,Assists,Saves,Shots,Score/A,Sc/G,G/G,A/G,Sv/G,Sh/G,GA/G,ShA/G,ScA/G,ARS/G,Win%,Sh%,Sv%
ClayHD,,,,,,,,0,,ClayHD,30,19,7610,38,21,33,80,15075,253.6666667,1.266666667,0.7,1.1,2.666666667,2.3,5.833333333,251.25,2.416666667,0.6333333333,0.475,
YouReach,1,0,170,1,0,1,1,665,,YouReach,35,21,11165,52,25,33,124,21565,319,1.485714286,0.7142857143,0.9428571429,3.542857143,3.057142857,6.542857143,308.0714286,10.92857143,0.6,0.4193548387,
GreatGodZeus,1,0,210,0,1,0,5,665,,GreatGodZeus,35,22,11855,59,30,41,137,19130,338.7142857,1.685714286,0.8571428571,1.171428571,3.914285714,2.628571429,5.714285714,273.2857143,65.42857143,0.6285714286,0.4306569343,
Opposition,1,1,665,3,1,4,5,,,Opposition,50,19,27885,134,46,132,302,0,557.7,2.68,0.92,2.64,6.04,,,,-54.9,0.38,0.4437086093,
Week 1 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,Team,50,31,30630,149,76,107,341,27885,612.6,2.98,1.52,2.14,6.82,2.68,6.04,557.7,54.9,0.62,0.4369501466,0.3543046358
ClayHD,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
YouReach,1,0,170,0,1,1,3,830,,,,,,,,,,,,,,,,,,,,,,
GreatGodZeus,1,0,475,4,0,0,6,830,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,830,5,1,4,8,,,,,,,,,,,,,,,,,,,,,,,
Week 1 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
ClayHD,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
YouReach,1,1,245,2,0,0,2,390,,,,,,,,,,,,,,,,,,,,,,
GreatGodZeus,1,1,330,1,2,2,2,390,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,390,1,0,1,5,,,,,,,,,,,,,,,,,,,,,,,
Week 1 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
ClayHD,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
YouReach,1,1,285,0,2,2,2,775,,,,,,,,,,,,,,,,,,,,,,
GreatGodZeus,1,1,685,4,0,2,7,775,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,775,3,2,3,8,,,,,,,,,,,,,,,,,,,,,,,
Week 1 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
ClayHD,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
YouReach,1,0,165,0,1,0,0,785,,,,,,,,,,,,,,,,,,,,,,
