Week 1 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,Player Totals,Played,Win,Score,Goals,Assists,Saves,Shots,Score/A,Sc/G,G/G,A/G,Sv/G,Sh/G,GA/G,ShA/G,ScA/G,ARS/G,Win%,Sh%,Sv%
RapidChampion,,,,,,,,0,,RapidChampion,35,3,5515,18,11,38,62,19190,157.5714286,0.5142857143,0.3142857143,1.085714286,1.771428571,3.371428571,5.914285714,274.1428571,-116.5714286,0.08571428571,0.2903225806,
SenorSaltie,1,0,375,1,1,3,5,915,,SenorSaltie,35,6,6615,30,6,32,83,16200,189,0.8571428571,0.1714285714,0.9142857143,2.371428571,2.714285714,4.942857143,231.4285714,-42.42857143,0.1714285714,0.3614457831,
Mythonian,1,0,315,2,0,0,4,915,,Josephus,25,3,3915,11,8,23,39,13700,156.6,0.44,0.32,0.92,1.56,3.08,6.16,274,-117.4,0.12,0.2820512821,
Opposition,1,1,915,4,2,6,7,,,Opposition,50,43,26120,152,73,108,285,0,522.4,3.04,1.46,2.16,5.7,,,,173.8,0.86,0.5333333333,
Week 1 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,Team,50,7,17430,65,27,99,197,26120,348.6,1.3,0.54,1.98,3.94,3.04,5.7,522.4,-173.8,0.14,0.3299492386,0.3473684211
RapidChampion,,,,,,,,0,,Former Players,Played,Win,Score,Goals,Assists,Saves,Shots,Score/A,Sc/G,G/G,A/G,Sv/G,Sh/G,GA/G,ShA/G,ScA/G,ARS/G,Win%,Sh%,Sv%
SenorSaltie,1,1,445,3,0,2,4,335,,Mythonian,5,2,1385,6,2,6,13,3150,277,1.2,0.4,1.2,2.6,2.8,7.2,315,-38,0.4,0.4615384615,
Mythonian,1,1,325,2,1,1,4,335,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,335,0,0,2,6,,,,,,,,,,,,,,,,,,,,,,,
Week 1 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
RapidChampion,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
SenorSaltie,1,0,235,1,0,2,2,555,,,,,,,,,,,,,,,,,,,,,,
Mythonian,1,0,140,0,0,1,2,555,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,555,3,2,1,7,,,,,,,,,,,,,,,,,,,,,,,
Week 1 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
RapidChampion,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
SenorSaltie,1,0,395,2,0,3,5,795,,,,,,,,,,,,,,,,,,,,,,
Mythonian,1,0,375,1,0,4,2,795,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,795,4,1,3,11,,,,,,,,,,,,,,,,,,,,,,,
Week 1 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
RapidChampion,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
SenorSaltie,1,1,420,3,0,1,6,550,,,,,,,,,,,,,,,,,,,,,,
Mythonian,1,1,230,1,1,0,1,550,,,,,,,,,,,,,,,,,,,,,,
