Week 1 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,Player Totals,Played,Win,Score,Goals,Assists,Saves,Shots,Score/A,Sc/G,G/G,A/G,Sv/G,Sh/G,GA/G,ShA/G,ScA/G,ARS/G,Win%,Sh%,Sv%
Jmonta22,1,0,170,0,0,0,2,455,,BadgerMilk,20,12,7125,35,11,29,75,10485,356.25,1.75,0.55,1.45,3.75,2.15,5.65,262.125,94.125,0.6,0.4666666667,
ClumsyTerm,,,,,,,,0,,ClumsyTerm,30,11,6240,26,15,31,66,18150,208,0.8666666667,0.5,1.033333333,2.2,3.066666667,6.4,302.5,-94.5,0.3666666667,0.3939393939,
Lodsain,1,0,95,0,0,0,1,455,,Lodsain,35,16,9090,39,23,42,101,19825,259.7142857,1.114285714,0.6571428571,1.2,2.885714286,2.571428571,5.914285714,283.2142857,-23.5,0.4571428571,0.3861386139,
Opposition,1,1,455,1,0,3,2,,,Opposition,50,29,29150,135,53,140,307,0,583,2.7,1.06,2.8,6.14,,,,34.3,0.58,0.4397394137,
Week 1 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,Team,50,21,27435,124,51,123,309,29150,548.7,2.48,1.02,2.46,6.18,2.7,6.14,583,-34.3,0.42,0.4012944984,0.4006514658
Jmonta22,1,1,645,4,0,4,7,605,,Former Players,Played,Win,Score,Goals,Assists,Saves,Shots,Score/A,Sc/G,G/G,A/G,Sv/G,Sh/G,GA/G,ShA/G,ScA/G,ARS/G,Win%,Sh%,
ClumsyTerm,,,,,,,,0,,Jmonta22,15,3,4980,24,2,21,67,9840,332,1.6,0.1333333333,1.4,4.466666667,1.6,4.466666667,656,-324,0.2,0.3582089552,
Lodsain,1,1,150,0,0,2,1,605,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,605,2,1,4,9,,,,,,,,,,,,,,,,,,,,,,,
Week 1 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Jmonta22,1,0,265,1,0,1,5,580,,,,,,,,,,,,,,,,,,,,,,
ClumsyTerm,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Lodsain,1,0,140,0,1,1,2,580,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,580,2,2,5,5,,,,,,,,,,,,,,,,,,,,,,,
Week 1 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Jmonta22,1,1,450,2,1,1,7,490,,,,,,,,,,,,,,,,,,,,,,
ClumsyTerm,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Lodsain,1,1,230,1,1,1,2,490,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,490,2,2,3,4,,,,,,,,,,,,,,,,,,,,,,,
Week 1 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Jmonta22,1,0,230,1,0,1,4,585,,,,,,,,,,,,,,,,,,,,,,
ClumsyTerm,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Lodsain,1,0,135,0,0,0,1,585,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,585,2,1,3,3,,,,,,,,,,,,,,,,,,,,,,,
Week 1 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Jmonta22,5,2,1760,8,1,7,25,2715,,,,,,,,,,,,,,,,,,,,,,
ClumsyTerm,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Lodsain,5,2,750,1,2,4,7,2715,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,3,2715,9,6,18,23,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 2 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Jmonta22,1,0,235,2,0,0,3,480,,,,,,,,,,,,,,,,,,,,,,
ClumsyTerm,1,0,65,0,1,0,0,480,,,,,,,,,,,,,,,,,,,,,,
Lodsain,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,480,3,0,1,5,,,,,,,,,,,,,,,,,,,,,,,
