Week 1 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,Player Totals,Played,Win,Score,Goals,Assists,Saves,Shots,Score/A,Sc/G,G/G,A/G,Sv/G,Sh/G,GA/G,ShA/G,ScA/G,ARS/G,Win%,Sh%,Sv%
Furphy,1,1,270,1,0,2,1,380,,Furphy,35,17,11405,53,11,51,108,20555,325.8571429,1.514285714,0.3142857143,1.457142857,3.085714286,2.914285714,6.857142857,293.6428571,32.21428571,0.4857142857,0.4907407407,
Cheeseisstupid,1,1,180,1,0,2,2,380,,UppercaseOne,25,12,6115,27,12,42,57,12345,244.6,1.08,0.48,1.68,2.28,2.44,6.52,246.9,-2.3,0.48,0.4736842105,
MrMacneil,,,,,,,,0,,MrMacneil,30,20,5740,29,15,39,53,13475,191.3333333,0.9666666667,0.5,1.3,1.766666667,2.033333333,5.933333333,224.5833333,-33.25,0.6666666667,0.5471698113,
Opposition,1,0,380,1,1,1,6,,,Opposition,50,24,26570,130,52,85,327,0,531.4,2.6,1.04,1.7,6.54,,,,21.5,0.48,0.3975535168,
Week 1 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,Team,50,26,25495,119,43,143,242,26570,509.9,2.38,0.86,2.86,4.84,2.6,6.54,531.4,-21.5,0.52,0.4917355372,0.4373088685
Furphy,1,0,290,1,0,3,2,560,,Former Players,Played,Win,Score,Goals,Assists,Saves,Shots,Score/A,Sc/G,G/G,A/G,Sv/G,Sh/G,GA/G,ShA/G,ScA/G,ARS/G,Win%,Sh%,
Cheeseisstupid,1,0,220,0,0,3,2,560,,Cheeseisstupid,10,3,2235,10,5,11,24,6765,223.5,1,0.5,1.1,2.4,3.6,7.3,338.25,-114.75,0.3,0.4166666667,
MrMacneil,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,560,2,0,2,9,,,,,,,,,,,,,,,,,,,,,,,
Week 1 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Furphy,1,1,605,4,1,1,8,785,,,,,,,,,,,,,,,,,,,,,,
Cheeseisstupid,1,1,335,2,2,0,4,785,,,,,,,,,,,,,,,,,,,,,,
MrMacneil,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,785,5,0,6,6,,,,,,,,,,,,,,,,,,,,,,,
Week 1 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Furphy,1,0,170,0,1,1,3,820,,,,,,,,,,,,,,,,,,,,,,
Cheeseisstupid,1,0,155,1,0,0,2,820,,,,,,,,,,,,,,,,,,,,,,
MrMacneil,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,820,5,1,3,8,,,,,,,,,,,,,,,,,,,,,,,
Week 1 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Furphy,1,0,275,1,0,2,3,660,,,,,,,,,,,,,,,,,,,,,,
Cheeseisstupid,1,0,195,1,0,0,2,660,,,,,,,,,,,,,,,,,,,,,,
MrMacneil,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,660,3,2,2,6,,,,,,,,,,,,,,,,,,,,,,,
Week 1 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Furphy,5,2,1610,7,2,9,17,3205,,,,,,,,,,,,,,,,,,,,,,
Cheeseisstupid,5,2,1085,5,2,5,12,3205,,,,,,,,,,,,,,,,,,,,,,
MrMacneil,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,3,3205,16,4,14,35,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 2 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Furphy,1,1,360,2,0,1,5,410,,,,,,,,,,,,,,,,,,,,,,
Cheeseisstupid,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
MrMacneil,1,1,155,0,1,1,1,410,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,410,1,0,4,2,,,,,,,,,,,,,,,,,,,,,,,
Week 2 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Furphy,1,0,325,1,0,3,3,610,,,,,,,,,,,,,,,,,,,,,,
Cheeseisstupid,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
MrMacneil,1,0,60,0,0,0,1,610,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,610,3,1,3,6,,,,,,,,,,,,,,,,,,,,,,,
Week 2 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Furphy,1,1,305,2,1,0,2,260,,,,,,,,,,,,,,,,,,,,,,
Cheeseisstupid,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
MrMacneil,1,1,250,1,0,2,4,260,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,260,1,0,1,3,,,,,,,,,,,,,,,,,,,,,,,
Week 2 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Furphy,1,1,520,4,0,0,5,475,,,,,,,,,,,,,,,,,,,,,,
Cheeseisstupid,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
MrMacneil,1,1,275,1,1,3,2,475,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,475,3,1,0,7,,,,,,,,,,,,,,,,,,,,,,,
Week 2 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Furphy,1,0,225,0,0,3,1,400,,,,,,,,,,,,,,,,,,,,,,
Cheeseisstupid,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
MrMacneil,1,0,105,0,0,0,1,400,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,400,1,0,1,5,,,,,,,,,,,,,,,,,,,,,,,
Week 2 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Furphy,5,3,1735,9,1,7,16,2155,,,,,,,,,,,,,,,,,,,,,,
Cheeseisstupid,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
MrMacneil,5,3,845,2,2,6,9,2155,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,2,2155,9,2,9,23,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 3 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Furphy,1,0,225,2,0,0,2,760,,,,,,,,,,,,,,,,,,,,,,
Cheeseisstupid,1,0,315,1,2,3,1,760,,,,,,,,,,,,,,,,,,,,,,
MrMacneil,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,760,5,2,0,11,,,,,,,,,,,,,,,,,,,,,,,
Week 3 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Furphy,1,0,340,2,1,1,2,1065,,,,,,,,,,,,,,,,,,,,,,
Cheeseisstupid,1,0,145,1,0,0,2,1065,,,,,,,,,,,,,,,,,,,,,,
MrMacneil,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,1065,8,5,1,10,,,,,,,,,,,,,,,,,,,,,,,
Week 3 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Furphy,1,0,190,0,0,0,4,575,,,,,,,,,,,,,,,,,,,,,,
Cheeseisstupid,1,0,220,1,0,0,4,575,,,,,,,,,,,,,,,,,,,,,,
MrMacneil,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,575,2,2,4,3,,,,,,,,,,,,,,,,,,,,,,,
Week 3 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Furphy,1,1,540,2,0,5,3,475,,,,,,,,,,,,,,,,,,,,,,
Cheeseisstupid,1,1,220,0,1,1,3,475,,,,,,,,,,,,,,,,,,,,,,
MrMacneil,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,475,1,0,3,7,,,,,,,,,,,,,,,,,,,,,,,
Week 3 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Furphy,1,0,180,0,1,0,2,685,,,,,,,,,,,,,,,,,,,,,,
Cheeseisstupid,1,0,250,2,0,2,2,685,,,,,,,,,,,,,,,,,,,,,,
MrMacneil,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,685,4,3,1,7,,,,,,,,,,,,,,,,,,,,,,,
Week 3 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Furphy,5,1,1475,6,2,6,13,3560,,,,,,,,,,,,,,,,,,,,,,
Cheeseisstupid,5,1,1150,5,3,6,12,3560,,,,,,,,,,,,,,,,,,,,,,
MrMacneil,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,4,3560,20,12,9,38,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Furphy,1,1,180,0,1,0,2,290,,,,,,,,,,,,,,,,,,,,,,
Cheeseisstupid,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
MrMacneil,1,1,265,2,0,0,2,290,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,290,1,0,0,3,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Furphy,1,1,415,3,0,1,5,535,,,,,,,,,,,,,,,,,,,,,,
Cheeseisstupid,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
MrMacneil,1,1,130,0,1,0,3,535,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,535,2,1,5,4,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Furphy,1,1,525,2,1,6,1,525,,,,,,,,,,,,,,,,,,,,,,
Cheeseisstupid,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
MrMacneil,1,1,220,1,0,1,0,525,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,525,2,0,0,11,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Furphy,1,0,180,0,1,0,2,695,,,,,,,,,,,,,,,,,,,,,,
Cheeseisstupid,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
MrMacneil,1,0,350,2,0,3,2,695,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,695,3,2,2,7,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Furphy,1,0,380,1,1,3,2,1075,,,,,,,,,,,,,,,,,,,,,,
Cheeseisstupid,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
MrMacneil,1,0,330,3,0,2,3,1075,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,1075,8,4,1,14,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Furphy,5,3,1680,6,4,10,12,3120,,,,,,,,,,,,,,,,,,,,,,
Cheeseisstupid,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
MrMacneil,5,3,1295,8,1,6,10,3120,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,2,3120,16,7,8,39,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 5 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Furphy,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
UppercaseOne,1,0,415,3,0,2,6,715,,,,,,,,,,,,,,,,,,,,,,
MrMacneil,1,0,80,0,0,0,0,715,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,715,4,1,4,7,,,,,,,,,,,,,,,,,,,,,,,
Week 5 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Furphy,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
UppercaseOne,1,0,275,1,0,3,2,560,,,,,,,,,,,,,,,,,,,,,,
MrMacneil,1,0,100,0,0,2,0,560,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,560,2,0,0,11,,,,,,,,,,,,,,,,,,,,,,,
Week 5 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Furphy,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
UppercaseOne,1,0,120,0,0,0,2,750,,,,,,,,,,,,,,,,,,,,,,
MrMacneil,1,0,200,0,0,2,1,750,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,750,4,2,1,7,,,,,,,,,,,,,,,,,,,,,,,
Week 5 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Furphy,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
UppercaseOne,1,0,170,1,0,2,1,900,,,,,,,,,,,,,,,,,,,,,,
MrMacneil,1,0,300,0,1,5,1,900,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,900,6,1,0,17,,,,,,,,,,,,,,,,,,,,,,,
Week 5 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Furphy,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
UppercaseOne,1,0,360,2,0,3,3,725,,,,,,,,,,,,,,,,,,,,,,
