Week 1 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,Player Totals,Played,Win,Score,Goals,Assists,Saves,Shots,Score/A,Sc/G,G/G,A/G,Sv/G,Sh/G,GA/G,ShA/G,ScA/G,ARS/G,Win%,Sh%,Sv%
Bigqdogg1,1,1,395,2,0,3,4,400,,Bigqdogg1,30,14,10255,42,13,62,101,17645,341.8333333,1.4,0.4333333333,2.066666667,3.366666667,2.6,6.933333333,294.0833333,47.75,0.4666666667,0.4158415842,
AcePocket,1,1,220,0,1,2,1,400,,AcePocket,35,15,10495,55,12,48,116,22490,299.8571429,1.571428571,0.3428571429,1.371428571,3.314285714,3.257142857,7.457142857,321.2857143,-21.42857143,0.4285714286,0.474137931,
Sci_Frye,,,,,,,,0,,Sci_Frye,35,17,7905,29,23,47,68,21745,225.8571429,0.8285714286,0.6571428571,1.342857143,1.942857143,2.971428571,7.285714286,310.6428571,-84.78571429,0.4857142857,0.4264705882,
Opposition,1,0,400,0,0,2,6,,,Opposition,50,27,30940,148,77,110,362,0,618.8,2.96,1.54,2.2,7.24,,,,45.7,0.54,0.408839779,
Week 1 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,Team,50,23,28655,126,48,157,285,30940,573.1,2.52,0.96,3.14,5.7,2.96,7.24,618.8,-45.7,0.46,0.4421052632,0.4337016575
Bigqdogg1,1,1,520,3,0,3,5,380,,,,,,,,,,,,,,,,,,,,,,
AcePocket,1,1,325,2,3,1,3,380,,,,,,,,,,,,,,,,,,,,,,
Sci_Frye,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,380,1,0,1,8,,,,,,,,,,,,,,,,,,,,,,,
Week 1 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Bigqdogg1,1,1,430,1,2,3,1,505,,,,,,,,,,,,,,,,,,,,,,
AcePocket,1,1,340,3,0,1,3,505,,,,,,,,,,,,,,,,,,,,,,
Sci_Frye,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,505,2,2,0,6,,,,,,,,,,,,,,,,,,,,,,,
Week 1 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Bigqdogg1,1,0,230,0,0,2,1,705,,,,,,,,,,,,,,,,,,,,,,
AcePocket,1,0,245,2,0,0,4,705,,,,,,,,,,,,,,,,,,,,,,
Sci_Frye,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,705,3,1,2,7,,,,,,,,,,,,,,,,,,,,,,,
Week 1 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Bigqdogg1,1,0,150,0,2,0,3,850,,,,,,,,,,,,,,,,,,,,,,
AcePocket,1,0,345,3,0,0,5,850,,,,,,,,,,,,,,,,,,,,,,
Sci_Frye,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,850,6,3,3,7,,,,,,,,,,,,,,,,,,,,,,,
Week 1 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Bigqdogg1,5,3,1725,6,4,11,14,2840,,,,,,,,,,,,,,,,,,,,,,
AcePocket,5,3,1475,10,4,4,16,2840,,,,,,,,,,,,,,,,,,,,,,
