Week 1 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,Player Totals,Played,Win,Score,Goals,Assists,Saves,Shots,Score/A,Sc/G,G/G,A/G,Sv/G,Sh/G,GA/G,ShA/G,ScA/G,ARS/G,Win%,Sh%,Sv%
Cloudfuel,,,,,,,,0,,Cloudfuel,30,13,6500,27,14,39,68,15585,216.6666667,0.9,0.4666666667,1.3,2.266666667,2.633333333,6.033333333,259.75,-43.08333333,0.4333333333,0.3970588235,
Jeremazing,1,1,330,1,1,3,2,690,,Jeremazing,35,14,10750,47,19,56,112,21400,307.1428571,1.342857143,0.5428571429,1.6,3.2,2.971428571,6.714285714,305.7142857,1.428571429,0.4,0.4196428571,
GrayV,1,1,585,3,1,3,5,690,,GrayV,35,15,7445,36,12,36,93,19625,212.7142857,1.028571429,0.3428571429,1.028571429,2.657142857,2.828571429,6.514285714,280.3571429,-67.64285714,0.4285714286,0.3870967742,
Opposition,1,0,690,3,1,3,9,,,Opposition,50,29,28305,141,63,107,322,0,566.1,2.82,1.26,2.14,6.44,,,,72.2,0.58,0.4378881988,
Week 1 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,Team,50,21,24695,110,45,131,273,28305,493.9,2.2,0.9,2.62,5.46,2.82,6.44,566.1,-72.2,0.42,0.4029304029,0.4068322981
Cloudfuel,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Jeremazing,1,0,195,0,0,1,3,770,,,,,,,,,,,,,,,,,,,,,,
GrayV,1,0,140,0,0,1,3,770,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,770,5,1,3,8,,,,,,,,,,,,,,,,,,,,,,,
Week 1 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Cloudfuel,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Jeremazing,1,1,355,2,1,1,5,375,,,,,,,,,,,,,,,,,,,,,,
GrayV,1,1,200,1,1,0,2,375,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,375,1,0,3,4,,,,,,,,,,,,,,,,,,,,,,,
Week 1 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Cloudfuel,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Jeremazing,1,1,475,2,1,0,8,770,,,,,,,,,,,,,,,,,,,,,,
GrayV,1,1,320,2,0,3,3,770,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,770,3,0,7,7,,,,,,,,,,,,,,,,,,,,,,,
Week 1 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Cloudfuel,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Jeremazing,1,0,210,1,0,1,2,650,,,,,,,,,,,,,,,,,,,,,,
GrayV,1,0,340,2,1,2,3,650,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,650,4,1,1,7,,,,,,,,,,,,,,,,,,,,,,,
Week 1 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Cloudfuel,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Jeremazing,5,3,1565,6,3,6,20,3255,,,,,,,,,,,,,,,,,,,,,,
GrayV,5,3,1585,8,3,9,16,3255,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,2,3255,16,3,17,35,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 2 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Cloudfuel,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Jeremazing,1,0,165,0,0,2,0,625,,,,,,,,,,,,,,,,,,,,,,
GrayV,1,0,105,0,0,0,3,625,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,625,3,1,3,5,,,,,,,,,,,,,,,,,,,,,,,
Week 2 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Cloudfuel,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Jeremazing,1,0,225,1,0,2,1,525,,,,,,,,,,,,,,,,,,,,,,
GrayV,1,0,130,0,0,2,3,525,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,525,3,0,2,9,,,,,,,,,,,,,,,,,,,,,,,
Week 2 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Cloudfuel,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Jeremazing,1,1,465,2,0,3,5,380,,,,,,,,,,,,,,,,,,,,,,
GrayV,1,1,155,0,0,0,1,380,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,380,1,0,1,4,,,,,,,,,,,,,,,,,,,,,,,
Week 2 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Cloudfuel,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Jeremazing,1,1,640,3,0,3,7,590,,,,,,,,,,,,,,,,,,,,,,
GrayV,1,1,190,0,1,1,2,590,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,590,2,1,3,6,,,,,,,,,,,,,,,,,,,,,,,
Week 2 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Cloudfuel,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Jeremazing,1,0,280,2,0,1,4,920,,,,,,,,,,,,,,,,,,,,,,
GrayV,1,0,275,2,0,1,5,920,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,920,5,4,4,8,,,,,,,,,,,,,,,,,,,,,,,
Week 2 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Cloudfuel,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Jeremazing,5,2,1775,8,0,11,17,3040,,,,,,,,,,,,,,,,,,,,,,
GrayV,5,2,855,2,1,4,14,3040,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,3,3040,14,6,13,32,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 3 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Cloudfuel,1,1,390,1,2,2,4,540,,,,,,,,,,,,,,,,,,,,,,
Jeremazing,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
GrayV,1,1,495,2,1,2,6,540,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,540,2,0,2,6,,,,,,,,,,,,,,,,,,,,,,,
Week 3 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
