Week 1 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,Player Totals,Played,Win,Score,Goals,Assists,Saves,Shots,Score/A,Sc/G,G/G,A/G,Sv/G,Sh/G,GA/G,ShA/G,ScA/G,ARS/G,Win%,Sh%,Sv%
Phisig2229,,,,,,,,0,,Phisig2229,35,27,10330,59,30,36,128,17200,295.1428571,1.685714286,0.8571428571,1.028571429,3.657142857,2.771428571,5.371428571,245.7142857,49.42857143,0.7714285714,0.4609375,
SwankyBubbles,1,1,360,1,0,3,1,265,,SwankyBubbles,35,29,13480,75,39,47,140,16210,385.1428571,2.142857143,1.114285714,1.342857143,4,1.885714286,5.428571429,231.5714286,153.5714286,0.8285714286,0.5357142857,
Wavy,1,1,95,0,0,0,1,265,,Wavy,30,20,8800,47,16,37,98,16920,293.3333333,1.566666667,0.5333333333,1.233333333,3.266666667,3.033333333,5.533333333,282,11.33333333,0.6666666667,0.4795918367,
Opposition,1,0,265,0,0,0,3,,,Opposition,45,12,25165,127,48,138,272,0,559.2222222,2.822222222,1.066666667,3.066666667,6.044444444,,,,-92.97777778,0.2666666667,0.4669117647,
Week 1 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,Team,50,38,32610,181,85,120,366,25165,652.2,3.62,1.7,2.4,7.32,2.54,5.44,503.3,92.97777778,0.76,0.4945355191,0.4411764706
Phisig2229,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
SwankyBubbles,1,0,365,1,1,2,5,795,,,,,,,,,,,,,,,,,,,,,,
Wavy,1,0,240,1,0,2,4,795,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,795,4,0,6,8,,,,,,,,,,,,,,,,,,,,,,,
Week 1 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Phisig2229,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
SwankyBubbles,1,1,170,0,2,1,1,405,,,,,,,,,,,,,,,,,,,,,,
Wavy,1,1,410,2,0,4,4,405,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,405,1,1,2,7,,,,,,,,,,,,,,,,,,,,,,,
Week 1 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Phisig2229,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
SwankyBubbles,1,0,220,1,1,1,2,680,,,,,,,,,,,,,,,,,,,,,,
Wavy,1,0,270,1,1,2,2,680,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,680,3,2,2,9,,,,,,,,,,,,,,,,,,,,,,,
Week 1 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Phisig2229,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
SwankyBubbles,1,1,350,2,0,0,3,365,,,,,,,,,,,,,,,,,,,,,,
Wavy,1,1,235,0,1,3,0,365,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,365,1,0,1,5,,,,,,,,,,,,,,,,,,,,,,,
Week 1 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Phisig2229,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
SwankyBubbles,5,3,1465,5,4,7,12,2510,,,,,,,,,,,,,,,,,,,,,,
Wavy,5,3,1250,4,2,11,11,2510,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,2,2510,9,3,11,32,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 2 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Phisig2229,1,1,140,1,0,0,2,585,,,,,,,,,,,,,,,,,,,,,,
SwankyBubbles,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Wavy,1,1,455,3,0,0,6,585,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,585,3,2,3,3,,,,,,,,,,,,,,,,,,,,,,,
Week 2 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Phisig2229,1,1,440,3,0,2,5,490,,,,,,,,,,,,,,,,,,,,,,
SwankyBubbles,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Wavy,1,1,270,0,2,1,5,490,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,490,22,1,3,6,,,,,,,,,,,,,,,,,,,,,,,
Week 2 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Phisig2229,1,0,215,1,0,1,3,690,,,,,,,,,,,,,,,,,,,,,,
SwankyBubbles,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Wavy,1,0,315,1,0,4,1,690,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,690,3,2,2,8,,,,,,,,,,,,,,,,,,,,,,,
Week 2 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Phisig2229,1,1,580,3,0,3,7,725,,,,,,,,,,,,,,,,,,,,,,
SwankyBubbles,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Wavy,1,1,330,1,2,1,5,725,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,725,3,1,4,8,,,,,,,,,,,,,,,,,,,,,,,
Week 2 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Phisig2229,1,1,445,3,1,0,5,495,,,,,,,,,,,,,,,,,,,,,,
SwankyBubbles,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Wavy,1,1,340,2,1,2,3,495,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,495,2,1,1,6,,,,,,,,,,,,,,,,,,,,,,,
Week 2 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Phisig2229,5,4,1820,11,1,6,22,2985,,,,,,,,,,,,,,,,,,,,,,
SwankyBubbles,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Wavy,5,4,1710,7,5,8,20,2985,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,1,2985,33,7,13,31,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 3 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Phisig2229,1,0,165,0,0,1,0,555,,,,,,,,,,,,,,,,,,,,,,
SwankyBubbles,1,0,200,1,0,1,2,555,,,,,,,,,,,,,,,,,,,,,,
Wavy,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,555,3,1,1,6,,,,,,,,,,,,,,,,,,,,,,,
Week 3 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Phisig2229,1,1,260,1,1,1,3,570,,,,,,,,,,,,,,,,,,,,,,
SwankyBubbles,1,1,350,2,1,1,3,570,,,,,,,,,,,,,,,,,,,,,,
Wavy,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,570,1,1,3,7,,,,,,,,,,,,,,,,,,,,,,,
Week 3 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Phisig2229,1,0,180,1,1,1,1,650,,,,,,,,,,,,,,,,,,,,,,
SwankyBubbles,1,0,230,1,1,1,3,650,,,,,,,,,,,,,,,,,,,,,,
Wavy,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,650,3,2,2,11,,,,,,,,,,,,,,,,,,,,,,,
Week 3 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Phisig2229,1,1,225,1,0,1,4,685,,,,,,,,,,,,,,,,,,,,,,
SwankyBubbles,1,1,600,3,1,2,7,685,,,,,,,,,,,,,,,,,,,,,,
Wavy,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,685,3,1,5,7,,,,,,,,,,,,,,,,,,,,,,,
Week 3 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Phisig2229,1,1,195,1,0,2,1,345,,,,,,,,,,,,,,,,,,,,,,
SwankyBubbles,1,1,800,7,1,2,8,345,,,,,,,,,,,,,,,,,,,,,,
Wavy,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,345,1,0,1,6,,,,,,,,,,,,,,,,,,,,,,,
Week 3 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Phisig2229,5,3,1025,4,2,6,9,2805,,,,,,,,,,,,,,,,,,,,,,
SwankyBubbles,5,3,2180,14,4,7,23,2805,,,,,,,,,,,,,,,,,,,,,,
Wavy,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,2,2805,11,5,12,37,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Phisig2229,1,1,490,3,2,1,9,535,,,,,,,,,,,,,,,,,,,,,,
SwankyBubbles,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Wavy,1,1,360,2,0,2,4,535,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,535,2,2,4,5,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Phisig2229,1,1,295,1,1,0,3,255,,,,,,,,,,,,,,,,,,,,,,
SwankyBubbles,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Wavy,1,1,155,1,0,1,2,255,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,255,0,0,2,1,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Phisig2229,1,0,130,0,0,0,3,610,,,,,,,,,,,,,,,,,,,,,,
SwankyBubbles,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Wavy,1,0,320,2,0,1,4,610,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,610,3,1,5,3,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Phisig2229,1,1,370,2,1,0,6,375,,,,,,,,,,,,,,,,,,,,,,
SwankyBubbles,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Wavy,1,1,270,2,0,0,4,375,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,375,1,1,4,3,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Phisig2229,1,1,565,3,1,4,8,555,,,,,,,,,,,,,,,,,,,,,,
SwankyBubbles,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Wavy,1,1,285,2,1,1,3,555,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,555,2,1,5,8,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Phisig2229,5,4,1850,9,5,5,29,2330,,,,,,,,,,,,,,,,,,,,,,
SwankyBubbles,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Wavy,5,4,1390,9,1,5,17,2330,,,,,,,,,,,,,,,,,,,,,,
