Week 1 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,Player Totals,Played,Win,Score,Goals,Assists,Saves,Shots,Score/A,Sc/G,G/G,A/G,Sv/G,Sh/G,GA/G,ShA/G,ScA/G,ARS/G,Win%,Sh%,Sv%
MenacingBanjo,,,,,,,,0,,MenacingBanjo,35,18,10055,40,21,16,110,19205,287.2857143,1.142857143,0.6,0.4571428571,3.142857143,2.742857143,5.8,274.3571429,12.92857143,0.5142857143,0.3636363636,
Pineapple,1,0,225,1,0,1,1,550,,Pineapple,35,15,11655,47,25,69,110,20795,333,1.342857143,0.7142857143,1.971428571,3.142857143,3.057142857,6.485714286,297.0714286,35.92857143,0.4285714286,0.4272727273,
Porkchop,1,0,140,0,1,1,1,550,,Porkchop,30,17,8495,47,18,21,82,15800,283.1666667,1.566666667,0.6,0.7,2.733333333,2.566666667,5.133333333,263.3333333,19.83333333,0.5666666667,0.5731707317,
Opposition,1,1,550,3,2,1,5,,,Opposition,50,25,27900,140,57,114,292,0,558,2.8,1.14,2.28,5.84,,,,-46.1,0.5,0.4794520548,
Week 1 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,Team,50,25,30205,134,64,106,302,27900,604.1,2.68,1.28,2.12,6.04,2.8,5.84,558,46.1,0.5,0.4437086093,0.3630136986
MenacingBanjo,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Pineapple,1,1,270,1,0,2,1,290,,,,,,,,,,,,,,,,,,,,,,
Porkchop,1,1,120,0,0,1,1,290,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,290,0,0,1,3,,,,,,,,,,,,,,,,,,,,,,,
Week 1 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
MenacingBanjo,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Pineapple,1,1,555,3,2,2,4,500,,,,,,,,,,,,,,,,,,,,,,
Porkchop,1,1,230,2,1,0,5,500,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,500,2,1,2,7,,,,,,,,,,,,,,,,,,,,,,,
Week 1 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
MenacingBanjo,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Pineapple,1,0,395,2,2,1,5,795,,,,,,,,,,,,,,,,,,,,,,
Porkchop,1,0,250,2,1,0,3,795,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,795,5,1,4,7,,,,,,,,,,,,,,,,,,,,,,,
Week 1 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
MenacingBanjo,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Pineapple,1,1,295,2,0,1,3,335,,,,,,,,,,,,,,,,,,,,,,
Porkchop,1,1,235,2,1,0,3,335,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,335,1,0,2,2,,,,,,,,,,,,,,,,,,,,,,,
Week 1 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
MenacingBanjo,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Pineapple,5,3,1740,9,4,7,14,2470,,,,,,,,,,,,,,,,,,,,,,
Porkchop,5,3,975,6,4,2,13,2470,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,2,2470,11,4,10,24,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 2 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
MenacingBanjo,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Pineapple,1,0,235,1,2,0,2,1125,,,,,,,,,,,,,,,,,,,,,,
Porkchop,1,0,300,2,0,1,5,1125,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,1125,8,5,3,9,,,,,,,,,,,,,,,,,,,,,,,
Week 2 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
MenacingBanjo,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Pineapple,1,0,320,1,0,2,5,600,,,,,,,,,,,,,,,,,,,,,,
Porkchop,1,0,85,0,0,0,1,600,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,600,3,0,4,4,,,,,,,,,,,,,,,,,,,,,,,
Week 2 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
MenacingBanjo,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Pineapple,1,0,335,1,1,4,2,920,,,,,,,,,,,,,,,,,,,,,,
Porkchop,1,0,185,1,1,2,0,920,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,920,6,4,0,14,,,,,,,,,,,,,,,,,,,,,,,
Week 2 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
MenacingBanjo,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Pineapple,1,1,425,2,1,1,3,295,,,,,,,,,,,,,,,,,,,,,,
Porkchop,1,1,295,2,1,1,2,295,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,295,1,0,0,3,,,,,,,,,,,,,,,,,,,,,,,
Week 2 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
MenacingBanjo,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Pineapple,1,1,445,3,0,2,5,395,,,,,,,,,,,,,,,,,,,,,,
Porkchop,1,1,205,0,0,3,1,395,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,395,1,0,2,7,,,,,,,,,,,,,,,,,,,,,,,
Week 2 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
MenacingBanjo,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Pineapple,5,2,1760,8,4,9,17,3335,,,,,,,,,,,,,,,,,,,,,,
Porkchop,5,2,1070,5,2,7,9,3335,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,3,3335,19,9,9,37,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 3 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
MenacingBanjo,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Pineapple,1,0,405,3,1,1,6,745,,,,,,,,,,,,,,,,,,,,,,
Porkchop,1,0,235,1,2,0,2,745,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,745,5,2,1,7,,,,,,,,,,,,,,,,,,,,,,,
Week 3 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
MenacingBanjo,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Pineapple,1,1,345,0,0,3,4,455,,,,,,,,,,,,,,,,,,,,,,
Porkchop,1,1,205,2,0,0,2,455,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,455,1,1,3,4,,,,,,,,,,,,,,,,,,,,,,,
Week 3 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
MenacingBanjo,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Pineapple,1,0,355,2,1,3,2,725,,,,,,,,,,,,,,,,,,,,,,
Porkchop,1,0,170,1,1,0,1,725,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,725,4,2,2,8,,,,,,,,,,,,,,,,,,,,,,,
Week 3 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
MenacingBanjo,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Pineapple,1,1,410,1,2,2,4,380,,,,,,,,,,,,,,,,,,,,,,
Porkchop,1,1,235,2,0,0,4,380,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,380,1,0,3,3,,,,,,,,,,,,,,,,,,,,,,,
Week 3 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
MenacingBanjo,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Pineapple,1,0,210,0,2,1,1,585,,,,,,,,,,,,,,,,,,,,,,
Porkchop,1,0,330,2,0,2,2,585,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,585,3,1,0,6,,,,,,,,,,,,,,,,,,,,,,,
Week 3 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
MenacingBanjo,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Pineapple,5,2,1725,6,6,10,17,2890,,,,,,,,,,,,,,,,,,,,,,
Porkchop,5,2,1175,8,3,2,11,2890,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,3,2890,14,6,9,28,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
MenacingBanjo,1,0,180,0,1,0,2,560,,,,,,,,,,,,,,,,,,,,,,
Pineapple,1,0,305,1,0,4,1,560,,,,,,,,,,,,,,,,,,,,,,
Porkchop,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,560,3,1,1,6,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
MenacingBanjo,1,0,130,0,0,0,2,715,,,,,,,,,,,,,,,,,,,,,,
Pineapple,1,0,320,2,0,1,3,715,,,,,,,,,,,,,,,,,,,,,,
Porkchop,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,715,5,2,2,6,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
MenacingBanjo,1,0,2225,1,1,0,5,995,,,,,,,,,,,,,,,,,,,,,,
Pineapple,1,0,355,1,1,3,1,995,,,,,,,,,,,,,,,,,,,,,,
Porkchop,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,995,7,3,4,10,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
MenacingBanjo,1,1,255,2,0,1,3,475,,,,,,,,,,,,,,,,,,,,,,
Pineapple,1,1,370,1,1,4,1,475,,,,,,,,,,,,,,,,,,,,,,
Porkchop,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,475,1,1,1,10,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
MenacingBanjo,1,0,95,0,0,0,1,555,,,,,,,,,,,,,,,,,,,,,,
Pineapple,1,0,180,1,0,0,2,555,,,,,,,,,,,,,,,,,,,,,,
Porkchop,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,555,3,2,2,3,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
MenacingBanjo,5,1,2885,3,2,1,13,3300,,,,,,,,,,,,,,,,,,,,,,
Pineapple,5,1,1530,6,2,12,8,3300,,,,,,,,,,,,,,,,,,,,,,
Porkchop,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,4,3300,19,9,10,35,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 5 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
MenacingBanjo,1,0,200,1,1,0,3,680,,,,,,,,,,,,,,,,,,,,,,
Pineapple,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Porkchop,1,0,350,2,1,1,4,680,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,680,4,4,2,4,,,,,,,,,,,,,,,,,,,,,,,
Week 5 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
MenacingBanjo,1,0,145,0,0,1,0,625,,,,,,,,,,,,,,,,,,,,,,
Pineapple,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Porkchop,1,0,265,2,0,0,3,625,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,625,3,1,1,6,,,,,,,,,,,,,,,,,,,,,,,
Week 5 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
MenacingBanjo,1,1,310,1,2,0,6,260,,,,,,,,,,,,,,,,,,,,,,
Pineapple,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Porkchop,1,1,520,4,0,1,4,260,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,260,0,0,3,1,,,,,,,,,,,,,,,,,,,,,,,
Week 5 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
MenacingBanjo,1,1,130,5,0,0,8,490,,,,,,,,,,,,,,,,,,,,,,
Pineapple,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Porkchop,1,1,565,0,0,0,1,490,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,490,3,2,3,5,,,,,,,,,,,,,,,,,,,,,,,
Week 5 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
MenacingBanjo,1,1,190,1,0,1,1,335,,,,,,,,,,,,,,,,,,,,,,
Pineapple,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Porkchop,1,1,355,2,1,0,4,335,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,335,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,
Week 5 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
MenacingBanjo,5,3,975,8,3,2,18,2390,,,,,,,,,,,,,,,,,,,,,,
Pineapple,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Porkchop,5,3,2055,10,2,2,16,2390,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,2,2390,11,7,10,18,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 6 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
MenacingBanjo,1,1,325,1,1,0,4,275,,,,,,,,,,,,,,,,,,,,,,
Pineapple,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Porkchop,1,1,190,1,0,0,3,275,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,275,0,0,4,1,,,,,,,,,,,,,,,,,,,,,,,
Week 6 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
MenacingBanjo,1,1,120,1,0,0,1,280,,,,,,,,,,,,,,,,,,,,,,
Pineapple,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Porkchop,1,1,485,4,0,1,4,280,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,280,1,0,1,3,,,,,,,,,,,,,,,,,,,,,,,
Week 6 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
MenacingBanjo,1,1,415,2,0,1,7,195,,,,,,,,,,,,,,,,,,,,,,
Pineapple,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Porkchop,1,1,170,1,1,0,3,195,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,195,0,0,2,1,,,,,,,,,,,,,,,,,,,,,,,
Week 6 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
MenacingBanjo,1,1,230,2,1,0,4,415,,,,,,,,,,,,,,,,,,,,,,
Pineapple,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Porkchop,1,1,305,2,0,0,4,415,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,415,2,0,4,2,,,,,,,,,,,,,,,,,,,,,,,
Week 6 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
MenacingBanjo,1,1,555,6,1,1,6,685,,,,,,,,,,,,,,,,,,,,,,
Pineapple,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Porkchop,1,1,620,4,3,1,4,685,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,685,5,3,1,8,,,,,,,,,,,,,,,,,,,,,,,
Week 6 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
MenacingBanjo,5,5,1645,12,3,2,22,1850,,,,,,,,,,,,,,,,,,,,,,
Pineapple,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Porkchop,5,5,1770,12,4,2,18,1850,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,0,1850,8,3,12,15,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 7 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
MenacingBanjo,1,1,280,1,2,1,2,470,,,,,,,,,,,,,,,,,,,,,,
Pineapple,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Porkchop,1,1,420,4,0,1,5,470,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,470,3,2,2,5,,,,,,,,,,,,,,,,,,,,,,,
Week 7 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
MenacingBanjo,1,0,150,0,0,0,2,505,,,,,,,,,,,,,,,,,,,,,,
Pineapple,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Porkchop,1,0,120,0,0,1,1,505,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,505,2,0,1,5,,,,,,,,,,,,,,,,,,,,,,,
Week 7 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
MenacingBanjo,1,0,420,2,0,1,8,820,,,,,,,,,,,,,,,,,,,,,,
Pineapple,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Porkchop,1,0,330,0,1,3,1,820,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,820,3,1,4,9,,,,,,,,,,,,,,,,,,,,,,,
Week 7 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
MenacingBanjo,1,1,215,1,0,0,1,390,,,,,,,,,,,,,,,,,,,,,,
Pineapple,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Porkchop,1,1,365,2,1,0,5,390,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,390,2,0,1,4,,,,,,,,,,,,,,,,,,,,,,,
Week 7 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
MenacingBanjo,1,0,250,1,0,2,3,680,,,,,,,,,,,,,,,,,,,,,,
Pineapple,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Porkchop,1,0,215,0,1,1,3,680,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,680,4,2,2,9,,,,,,,,,,,,,,,,,,,,,,,
Week 7 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
MenacingBanjo,5,2,1315,5,2,4,16,2865,,,,,,,,,,,,,,,,,,,,,,
Pineapple,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Porkchop,5,2,1450,6,3,6,15,2865,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,3,2865,14,5,10,32,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 8 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
MenacingBanjo,1,0,155,0,1,0,2,540,,,,,,,,,,,,,,,,,,,,,,
Pineapple,1,0,235,1,0,2,3,540,,,,,,,,,,,,,,,,,,,,,,
Porkchop,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,540,3,0,3,7,,,,,,,,,,,,,,,,,,,,,,,
Week 8 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
MenacingBanjo,1,1,245,1,2,0,4,470,,,,,,,,,,,,,,,,,,,,,,
Pineapple,1,1,365,2,1,1,4,470,,,,,,,,,,,,,,,,,,,,,,
Porkchop,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,470,2,0,4,4,,,,,,,,,,,,,,,,,,,,,,,
Week 8 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
MenacingBanjo,1,0,120,0,0,1,1,810,,,,,,,,,,,,,,,,,,,,,,
