Game Information,,,,,,Player Statlines,,,,,
Week,Game,Match ID,Team,Opponent,Player,Sc,G,A,Sv,Sh,NCP
1,1,1,Bears,Rhinos,Kaeso Clarus,542,2,2,1,4,
1,1,1,Bears,Rhinos,obfuscurity,484,2,0,1,3,
1,1,1,Rhinos,Bears,Meddler,394,1,1,1,3,
1,1,1,Rhinos,Bears,AtoMic,501,1,1,2,2,
1,2,1,Bears,Rhinos,Kaeso Clarus,367,0,1,2,0,
1,2,1,Bears,Rhinos,obfuscurity,368,1,0,1,1,
1,2,1,Rhinos,Bears,Meddler,158,0,0,0,3,
1,2,1,Rhinos,Bears,AtoMic,256,0,0,0,2,
1,3,1,Bears,Rhinos,Kaeso Clarus,563,1,1,4,2,
1,3,1,Bears,Rhinos,obfuscurity,536,2,0,1,3,
1,3,1,Rhinos,Bears,Meddler,333,1,0,1,4,
1,3,1,Rhinos,Bears,AtoMic,436,1,0,1,3,
1,4,1,Bears,Rhinos,Kaeso Clarus,475,1,1,2,2,
1,4,1,Bears,Rhinos,obfuscurity,496,2,1,0,3,
1,4,1,Rhinos,Bears,Meddler,418,1,1,2,3,
1,4,1,Rhinos,Bears,AtoMic,398,1,0,0,3,
1,5,1,Bears,Rhinos,Kaeso Clarus,549,3,0,0,9,
1,5,1,Bears,Rhinos,obfuscurity,416,0,2,2,0,
1,5,1,Rhinos,Bears,Meddler,590,2,2,2,2,
1,5,1,Rhinos,Bears,AtoMic,586,2,2,1,3,
1,1,2,Pirates,Knights,Herbs,809,4,0,2,3,
1,1,2,Pirates,Knights,RedTaill,401,1,1,1,3,
1,1,2,Knights,Pirates,Lars Newt,208,0,0,0,6,
1,1,2,Knights,Pirates,Schult,393,1,0,2,2,
1,2,2,Pirates,Knights,Herbs,792,3,2,1,6,
1,2,2,Pirates,Knights,RedTaill,901,3,2,4,7,
1,2,2,Knights,Pirates,Lars Newt,717,3,1,2,6,
1,2,2,Knights,Pirates,Schult,860,2,2,4,4,
1,3,2,Pirates,Knights,Herbs,654,2,1,0,8,
1,3,2,Pirates,Knights,RedTaill,546,1,2,2,3,
1,3,2,Knights,Pirates,Lars Newt,875,3,0,3,3,
1,3,2,Knights,Pirates,Schult,591,1,1,3,4,
1,4,2,Pirates,Knights,Herbs,595,3,0,1,5,
1,4,2,Pirates,Knights,RedTaill,416,1,1,1,3,
1,4,2,Knights,Pirates,Lars Newt,344,2,0,0,1,
1,4,2,Knights,Pirates,Schult,375,0,0,3,2,
1,5,2,Pirates,Knights,Herbs,486,2,1,1,5,
1,5,2,Pirates,Knights,RedTaill,504,2,0,1,4,
1,5,2,Knights,Pirates,Lars Newt,341,0,0,3,0,
1,5,2,Knights,Pirates,Schult,366,1,0,1,3,
1,1,3,Outlaws,Sabres,Hotsaucethepirate,338,0,1,2,2,
1,1,3,Outlaws,Sabres,Nyyankeesrd,425,1,0,1,4,
1,1,3,Sabres,Outlaws,Perpetual Confusion,226,0,1,1,1,
1,1,3,Sabres,Outlaws,OldManBallin26,943,4,0,4,8,
1,2,3,Outlaws,Sabres,Hotsaucethepirate,781,3,1,3,3,
1,2,3,Outlaws,Sabres,Nyyankeesrd,510,2,2,0,4,
1,2,3,Sabres,Outlaws,Perpetual Confusion,465,3,0,0,3,
1,2,3,Sabres,Outlaws,OldManBallin26,641,1,3,2,4,
1,3,3,Outlaws,Sabres,Hotsaucethepirate,474,2,1,0,5,
1,3,3,Outlaws,Sabres,Nyyankeesrd,238,1,0,0,2,
1,3,3,Sabres,Outlaws,Perpetual Confusion,516,2,1,2,2,
1,3,3,Sabres,Outlaws,OldManBallin26,482,2,1,1,3,
1,4,3,Outlaws,Sabres,Hotsaucethepirate,598,2,2,0,3,
1,4,3,Outlaws,Sabres,Nyyankeesrd,430,2,1,0,3,
1,4,3,Sabres,Outlaws,Perpetual Confusion,356,1,1,0,2,
1,4,3,Sabres,Outlaws,OldManBallin26,390,1,1,1,1,
1,5,3,Outlaws,Sabres,Hotsaucethepirate,749,4,0,0,6,
1,5,3,Outlaws,Sabres,Nyyankeesrd,404,2,1,0,4,
1,5,3,Sabres,Outlaws,Perpetual Confusion,591,1,0,3,4,
1,5,3,Sabres,Outlaws,OldManBallin26,174,0,1,0,0,
1,1,4,Wizards,Demolition,Rowdy,567,2,0,4,3,
1,1,4,Wizards,Demolition,jamesy1024,381,1,1,1,1,
1,1,4,Demolition,Wizards,Deejay,591,2,3,0,7,
1,1,4,Demolition,Wizards,Super,589,3,1,0,4,
1,2,4,Wizards,Demolition,Rowdy,952,3,0,4,4,
1,2,4,Wizards,Demolition,jamesy1024,707,1,1,4,3,
1,2,4,Demolition,Wizards,Deejay,506,1,0,2,6,
1,2,4,Demolition,Wizards,Super,516,2,0,0,6,
1,3,4,Wizards,Demolition,Rowdy,470,2,0,1,5,
1,3,4,Wizards,Demolition,jamesy1024,333,0,1,3,1,
1,3,4,Demolition,Wizards,Deejay,360,0,2,1,4,
1,3,4,Demolition,Wizards,Super,688,3,0,3,5,
1,4,4,Wizards,Demolition,Rowdy,292,0,0,2,2,
1,4,4,Wizards,Demolition,jamesy1024,199,0,0,2,0,
1,4,4,Demolition,Wizards,Deejay,249,0,0,1,2,
1,4,4,Demolition,Wizards,Super,412,1,0,0,6,
1,5,4,Wizards,Demolition,Rowdy,523,2,0,2,5,
1,5,4,Wizards,Demolition,jamesy1024,186,0,0,1,1,
1,5,4,Demolition,Wizards,Deejay,779,4,1,1,8,
1,5,4,Demolition,Wizards,Super,723,3,2,1,6,
1,1,5,Bulls,Hurricanes,DonutPirate,404,2,0,0,2,
1,1,5,Bulls,Hurricanes,Luna's Protector,198,0,0,0,2,
1,1,5,Hurricanes,Bulls,TheMagnelephant,458,2,1,0,3,
1,1,5,Hurricanes,Bulls,DocPep,409,1,0,1,1,
1,2,5,Bulls,Hurricanes,DonutPirate,290,2,0,0,2,
1,2,5,Bulls,Hurricanes,Luna's Protector,521,0,1,2,3,
1,2,5,Hurricanes,Bulls,TheMagnelephant,308,0,1,1,0,
1,2,5,Hurricanes,Bulls,DocPep,635,3,0,1,5,
1,3,5,Bulls,Hurricanes,DonutPirate,150,0,0,0,1,
1,3,5,Bulls,Hurricanes,Luna's Protector,318,0,0,2,3,
1,3,5,Hurricanes,Bulls,TheMagnelephant,735,4,0,1,4,
