Game Information,,,,,,Player Statlines,,,,,
Week,Game,Match ID,Team,Opponent,Player,Sc,G,A,Sv,Sh,NCP
1,1,1,Bears,Rhinos,Kracerlink,483,2,0,1,4,
1,1,1,Bears,Rhinos,Ryder,310,0,1,1,0,
1,1,1,Rhinos,Bears,BadK1dz,664,3,0,0,4,
1,1,1,Rhinos,Bears,Korluss,351,0,0,2,2,
1,2,1,Bears,Rhinos,Kracerlink,564,2,0,2,3,
1,2,1,Bears,Rhinos,Ryder,340,0,1,1,0,
1,2,1,Rhinos,Bears,BadK1dz,280,0,0,1,4,
1,2,1,Rhinos,Bears,Korluss,222,0,0,0,1,
1,3,1,Bears,Rhinos,Kracerlink,499,2,0,1,3,
1,3,1,Bears,Rhinos,Ryder,411,0,1,4,0,
1,3,1,Rhinos,Bears,BadK1dz,295,0,0,1,4,
1,3,1,Rhinos,Bears,Korluss,308,1,0,1,3,
1,4,1,Bears,Rhinos,Kracerlink,649,2,1,2,2,
1,4,1,Bears,Rhinos,Ryder,410,1,1,0,2,
1,4,1,Rhinos,Bears,BadK1dz,426,0,2,1,3,
1,4,1,Rhinos,Bears,Korluss,382,2,0,0,3,
1,5,1,Bears,Rhinos,Kracerlink,1000,3,0,4,5,
1,5,1,Bears,Rhinos,Ryder,476,0,1,3,2,
1,5,1,Rhinos,Bears,BadK1dz,424,0,2,0,7,
1,5,1,Rhinos,Bears,Korluss,617,2,0,2,5,
1,1,2,Pirates,Knights,Tater,556,2,1,1,4,
1,1,2,Pirates,Knights,Crey2k,461,2,1,1,2,
1,1,2,Knights,Pirates,MikeIsMyIke,484,1,2,0,4,
1,1,2,Knights,Pirates,Beninemm,426,2,0,1,3,
1,2,2,Pirates,Knights,Tater,408,1,1,1,2,
1,2,2,Pirates,Knights,Crey2k,425,1,1,1,4,
1,2,2,Knights,Pirates,MikeIsMyIke,785,3,2,1,8,
1,2,2,Knights,Pirates,Beninemm,502,2,1,1,1,
1,3,2,Pirates,Knights,Tater,470,1,0,2,4,
1,3,2,Pirates,Knights,Crey2k,466,1,1,1,4,
1,3,2,Knights,Pirates,MikeIsMyIke,284,0,0,1,1,
1,3,2,Knights,Pirates,Beninemm,617,1,0,4,3,
1,4,2,Pirates,Knights,Tater,569,2,2,2,5,
1,4,2,Pirates,Knights,Crey2k,597,3,0,1,5,
1,4,2,Knights,Pirates,MikeIsMyIke,404,1,2,0,3,
1,4,2,Knights,Pirates,Beninemm,440,2,0,1,4,
1,5,2,Pirates,Knights,Tater,871,3,0,2,8,
1,5,2,Pirates,Knights,Crey2k,578,1,0,3,3,
1,5,2,Knights,Pirates,MikeIsMyIke,764,2,2,3,5,
1,5,2,Knights,Pirates,Beninemm,1194,3,1,6,11,
1,1,3,Outlaws,Sabres,Saucey,805,2,2,4,2,
1,1,3,Outlaws,Sabres,notmike,571,3,1,0,6,
1,1,3,Sabres,Outlaws,K3v,344,0,0,3,2,
1,1,3,Sabres,Outlaws,Big Boi Johnny,644,1,0,3,3,
1,2,3,Outlaws,Sabres,Saucey,1029,3,0,5,5,
1,2,3,Outlaws,Sabres,notmike,375,0,2,1,4,
1,2,3,Sabres,Outlaws,K3v,494,1,0,1,4,
1,2,3,Sabres,Outlaws,Big Boi Johnny,702,1,1,3,5,
1,3,3,Outlaws,Sabres,Saucey,382,1,1,1,5,
1,3,3,Outlaws,Sabres,notmike,469,1,1,2,1,
1,3,3,Sabres,Outlaws,K3v,508,2,0,1,4,
1,3,3,Sabres,Outlaws,Big Boi Johnny,623,3,0,1,6,
1,4,3,Outlaws,Sabres,Saucey,738,3,0,3,3,
1,4,3,Outlaws,Sabres,notmike,301,0,1,1,3,
1,4,3,Sabres,Outlaws,K3v,755,4,0,1,5,
1,4,3,Sabres,Outlaws,Big Boi Johnny,378,0,2,2,4,
1,5,3,Outlaws,Sabres,Saucey,478,0,1,2,3,
1,5,3,Outlaws,Sabres,notmike,304,1,0,1,2,
1,5,3,Sabres,Outlaws,K3v,423,1,1,1,3,
1,5,3,Sabres,Outlaws,Big Boi Johnny,450,1,0,1,3,
1,1,4,Wizards,Demolition,Jimmer,629,2,1,2,2,
1,1,4,Wizards,Demolition,KingHaast,457,1,1,2,3,
1,1,4,Demolition,Wizards,CinderBlock,504,1,0,2,5,
1,1,4,Demolition,Wizards,Bandicoot,172,0,0,1,1,
1,2,4,Wizards,Demolition,Jimmer,447,1,0,4,2,
1,2,4,Wizards,Demolition,KingHaast,561,2,0,2,4,
1,2,4,Demolition,Wizards,CinderBlock,352,0,1,2,3,
1,2,4,Demolition,Wizards,Bandicoot,524,2,0,1,5,
1,3,4,Wizards,Demolition,Jimmer,614,3,0,2,4,
1,3,4,Wizards,Demolition,KingHaast,320,1,1,1,3,
1,3,4,Demolition,Wizards,CinderBlock,1127,6,3,1,9,
1,3,4,Demolition,Wizards,Bandicoot,840,3,4,2,7,
1,4,4,Wizards,Demolition,Jimmer,398,1,0,0,3,
1,4,4,Wizards,Demolition,KingHaast,202,0,0,1,1,
1,4,4,Demolition,Wizards,CinderBlock,698,3,1,1,4,
1,4,4,Demolition,Wizards,Bandicoot,627,2,3,1,3,
1,5,4,Wizards,Demolition,Jimmer,588,3,0,1,3,
1,5,4,Wizards,Demolition,KingHaast,435,0,2,2,3,
1,5,4,Demolition,Wizards,CinderBlock,570,1,3,1,3,
1,5,4,Demolition,Wizards,Bandicoot,1044,6,0,1,11,
1,1,5,Bulls,Hurricanes,Bondo,417,0,0,3,2,
1,1,5,Bulls,Hurricanes,Moosey,301,0,0,1,2,
1,1,5,Hurricanes,Bulls,AcePocket,598,2,0,2,4,
1,1,5,Hurricanes,Bulls,Aether,278,0,0,1,3,
1,2,5,Bulls,Hurricanes,Bondo,519,1,0,3,3,
1,2,5,Bulls,Hurricanes,Moosey,369,1,1,0,3,
1,2,5,Hurricanes,Bulls,AcePocket,287,0,0,2,1,
1,2,5,Hurricanes,Bulls,Aether,539,1,0,2,2,
1,3,5,Bulls,Hurricanes,Bondo,529,2,0,1,3,
1,3,5,Bulls,Hurricanes,Moosey,325,0,1,3,1,
1,3,5,Hurricanes,Bulls,AcePocket,567,0,3,2,4,
1,3,5,Hurricanes,Bulls,Aether,643,4,0,0,6,
1,4,5,Bulls,Hurricanes,Bondo,619,2,2,1,5,
1,4,5,Bulls,Hurricanes,Moosey,534,2,1,2,4,
1,4,5,Hurricanes,Bulls,AcePocket,602,2,1,2,5,
1,4,5,Hurricanes,Bulls,Aether,799,3,1,3,3,
1,5,5,Bulls,Hurricanes,Bondo,238,1,0,0,5,
1,5,5,Bulls,Hurricanes,Moosey,226,0,1,1,2,
1,5,5,Hurricanes,Bulls,AcePocket,850,4,0,3,5,
1,5,5,Hurricanes,Bulls,Aether,457,0,2,3,2,
1,1,6,Elite,Spectre,Xeia,660,3,1,1,6,
1,1,6,Elite,Spectre,Demonic,631,2,2,1,4,
1,1,6,Spectre,Elite,JorbyPls,370,1,0,0,2,
1,1,6,Spectre,Elite,Mythonian,279,0,0,2,2,
1,2,6,Elite,Spectre,Xeia,114,0,0,0,1,
1,2,6,Elite,Spectre,Demonic,499,0,0,4,3,
1,2,6,Spectre,Elite,JorbyPls,389,0,0,4,4,
1,2,6,Spectre,Elite,Mythonian,396,1,0,1,2,
1,3,6,Elite,Spectre,Xeia,826,3,3,1,5,
1,3,6,Elite,Spectre,Demonic,785,4,1,2,7,
1,3,6,Spectre,Elite,JorbyPls,195,0,0,1,1,
1,3,6,Spectre,Elite,Mythonian,494,2,0,1,4,
1,4,6,Elite,Spectre,Xeia,715,4,1,0,6,
1,4,6,Elite,Spectre,Demonic,806,3,3,1,4,
1,4,6,Spectre,Elite,JorbyPls,412,1,0,2,1,
1,4,6,Spectre,Elite,Mythonian,352,1,0,1,1,
1,5,6,Elite,Spectre,Xeia,563,3,1,0,4,
1,5,6,Elite,Spectre,Demonic,537,1,1,2,3,
1,5,6,Spectre,Elite,JorbyPls,512,2,1,1,3,
1,5,6,Spectre,Elite,Mythonian,494,1,2,2,2,
1,1,7,Tyrants,Flames,alex5050,629,1,0,4,5,
1,1,7,Tyrants,Flames,TruSolja,428,1,0,1,2,
1,1,7,Flames,Tyrants,Bones,292,0,0,1,3,
1,1,7,Flames,Tyrants,iP JoKeR,470,1,0,1,6,
1,2,7,Tyrants,Flames,alex5050,266,0,1,1,1,
1,2,7,Tyrants,Flames,TruSolja,504,1,0,3,3,
1,2,7,Flames,Tyrants,Bones,240,0,0,1,1,
1,2,7,Flames,Tyrants,iP JoKeR,569,3,0,1,6,
1,3,7,Tyrants,Flames,alex5050,336,0,0,2,3,
