Game Information,,,,,,Player Statlines,,,,,
Week,Game,Match ID,Team,Opponent,Player,Sc,G,A,Sv,Sh,NCP
1,1,1,Bears,Rhinos,Cardinal22,524,3,0,0,4,
1,1,1,Bears,Rhinos,Brokarian,822,3,1,3,6,
1,1,1,Rhinos,Bears,BlackknightJC,647,2,3,1,2,
1,1,1,Rhinos,Bears,Zeakz,611,3,1,1,6,
1,2,1,Bears,Rhinos,Cardinal22,50,0,0,0,1,
1,2,1,Bears,Rhinos,Brokarian,408,1,0,0,3,
1,2,1,Rhinos,Bears,BlackknightJC,186,0,1,1,1,
1,2,1,Rhinos,Bears,Zeakz,524,2,0,1,2,
1,3,1,Bears,Rhinos,Cardinal22,420,1,0,0,4,
1,3,1,Bears,Rhinos,Brokarian,737,3,1,1,7,
1,3,1,Rhinos,Bears,BlackknightJC,124,0,0,0,0,
1,3,1,Rhinos,Bears,Zeakz,542,2,0,2,3,
1,4,1,Bears,Rhinos,Cardinal22,341,0,1,2,3,
1,4,1,Bears,Rhinos,Brokarian,360,1,0,0,3,
1,4,1,Rhinos,Bears,BlackknightJC,284,0,0,2,2,
1,4,1,Rhinos,Bears,Zeakz,663,3,0,1,4,
1,5,1,Bears,Rhinos,Cardinal22,529,1,1,3,2,
1,5,1,Bears,Rhinos,Brokarian,560,1,0,3,5,
1,5,1,Rhinos,Bears,BlackknightJC,108,0,0,0,2,
1,5,1,Rhinos,Bears,Zeakz,509,1,0,1,5,
1,1,2,Pirates,Knights,Forgiiv,528,2,1,1,3,
1,1,2,Pirates,Knights,hellyaman,480,2,1,1,5,
1,1,2,Knights,Pirates,Hardcoregames15,288,1,0,1,2,
1,1,2,Knights,Pirates,mtdiedrich,231,0,0,1,2,
1,2,2,Pirates,Knights,Forgiiv,438,2,1,0,3,
1,2,2,Pirates,Knights,hellyaman,645,3,0,0,5,
1,2,2,Knights,Pirates,Hardcoregames15,651,3,1,0,3,
1,2,2,Knights,Pirates,mtdiedrich,364,1,1,1,3,
1,3,2,Pirates,Knights,Forgiiv,410,1,2,0,2,
1,3,2,Pirates,Knights,hellyaman,673,5,0,0,4,
1,3,2,Knights,Pirates,Hardcoregames15,330,1,1,0,2,
1,3,2,Knights,Pirates,mtdiedrich,366,1,1,0,0,
