,,,,,,Player Statlines,,,,,
Week,Game,Match ID,Team,Opponent,Player,Sc,G,A,Sv,Sh,NCP
1,1,1,Bulls,Hurricanes,RainbowNoms,497,1,0,3,3,
1,1,1,Bulls,Hurricanes,Tagmata,389,1,0,1,5,
1,1,1,Hurricanes,Bulls,Peabs,793,3,0,3,5,
1,1,1,Hurricanes,Bulls,synthex,286,0,1,1,4,
1,2,1,Bulls,Hurricanes,RainbowNoms,510,1,2,1,3,
1,2,1,Bulls,Hurricanes,Tagmata,886,4,0,2,4,
1,2,1,Hurricanes,Bulls,Peabs,556,2,0,1,4,
1,2,1,Hurricanes,Bulls,synthex,258,0,1,0,3,
1,3,1,Bulls,Hurricanes,RainbowNoms,330,0,1,1,2,
1,3,1,Bulls,Hurricanes,Tagmata,641,2,0,2,6,
1,3,1,Hurricanes,Bulls,Peabs,763,2,1,3,3,
1,3,1,Hurricanes,Bulls,synthex,473,1,0,2,2,
1,4,1,Bulls,Hurricanes,RainbowNoms,820,3,2,2,8,
1,4,1,Bulls,Hurricanes,Tagmata,806,3,1,3,5,
1,4,1,Hurricanes,Bulls,Peabs,505,1,0,3,3,
1,4,1,Hurricanes,Bulls,synthex,431,1,0,3,5,
1,5,1,Bulls,Hurricanes,RainbowNoms,476,0,2,2,6,
1,5,1,Bulls,Hurricanes,Tagmata,613,3,0,2,5,
1,5,1,Hurricanes,Bulls,Peabs,662,1,0,6,2,
1,5,1,Hurricanes,Bulls,synthex,349,0,1,1,3,
1,1,2,Elite,Spectre,El Diablo Rojo,328,1,0,0,4,
1,1,2,Elite,Spectre,Codex,206,0,0,0,5,
1,1,2,Spectre,Elite,Plum,710,3,1,2,4,
1,1,2,Spectre,Elite,PuffTheDargon,471,1,0,3,1,
1,2,2,Elite,Spectre,El Diablo Rojo,376,1,0,2,4,
1,2,2,Elite,Spectre,Codex,574,2,1,1,5,
1,2,2,Spectre,Elite,Plum,656,2,2,2,5,
1,2,2,Spectre,Elite,PuffTheDargon,504,2,0,2,4,
1,3,2,Elite,Spectre,El Diablo Rojo,567,1,0,3,4,
1,3,2,Elite,Spectre,Codex,424,1,1,0,4,
1,3,2,Spectre,Elite,Plum,847,3,0,3,4,
1,3,2,Spectre,Elite,PuffTheDargon,380,0,2,1,3,
1,4,2,Elite,Spectre,El Diablo Rojo,386,0,0,3,2,
1,4,2,Elite,Spectre,Codex,469,1,0,3,2,
1,4,2,Spectre,Elite,Plum,359,0,0,2,3,
1,4,2,Spectre,Elite,PuffTheDargon,188,0,0,0,3,
1,5,2,Elite,Spectre,El Diablo Rojo,490,1,1,2,6,
1,5,2,Elite,Spectre,Codex,606,2,1,2,5,
1,5,2,Spectre,Elite,Plum,637,2,0,3,3,
1,5,2,Spectre,Elite,PuffTheDargon,360,0,2,2,2,
1,1,3,Tyrants,Flames,Fuzh,450,1,1,1,4,
1,1,3,Tyrants,Flames,Barry Allen,532,1,0,3,3,
1,1,3,Flames,Tyrants,SmilezRL,598,2,1,1,4,
1,1,3,Flames,Tyrants,whale,607,1,1,4,3,
1,2,3,Tyrants,Flames,Fuzh,555,1,0,2,5,
1,2,3,Tyrants,Flames,Barry Allen,304,1,0,1,3,
1,2,3,Flames,Tyrants,SmilezRL,668,1,2,3,1,
1,2,3,Flames,Tyrants,whale,457,2,0,1,4,
1,3,3,Tyrants,Flames,Fuzh,915,5,0,1,8,
1,3,3,Tyrants,Flames,Barry Allen,421,0,3,1,1,
1,3,3,Flames,Tyrants,SmilezRL,650,3,0,1,4,
1,3,3,Flames,Tyrants,whale,505,1,2,2,3,
1,4,3,Tyrants,Flames,Fuzh,574,2,2,1,3,
1,4,3,Tyrants,Flames,Barry Allen,907,4,2,2,8,
1,4,3,Flames,Tyrants,SmilezRL,454,1,1,3,2,
1,4,3,Flames,Tyrants,whale,457,1,1,1,6,
1,5,3,Tyrants,Flames,Fuzh,587,1,2,2,4,
1,5,3,Tyrants,Flames,Barry Allen,605,2,1,2,6,
1,5,3,Flames,Tyrants,SmilezRL,561,0,2,4,2,
1,5,3,Flames,Tyrants,whale,647,4,0,0,6,
1,1,4,Pandas,Dodgers,dan720,657,3,1,2,6,
1,1,4,Pandas,Dodgers,MapleSurrup,651,1,3,3,3,
1,1,4,Dodgers,Pandas,Red Line,465,1,0,2,4,
1,1,4,Dodgers,Pandas,Whiffles,312,1,1,0,4,
1,2,4,Pandas,Dodgers,dan720,464,2,0,2,2,
1,2,4,Pandas,Dodgers,MapleSurrup,233,0,1,1,1,
1,2,4,Dodgers,Pandas,Red Line,522,1,2,1,4,
1,2,4,Dodgers,Pandas,Whiffles,434,2,1,0,4,
1,3,4,Pandas,Dodgers,dan720,238,0,0,1,8,
1,3,4,Pandas,Dodgers,MapleSurrup,486,2,0,1,4,
1,3,4,Dodgers,Pandas,Red Line,726,1,1,4,3,
1,3,4,Dodgers,Pandas,Whiffles,839,3,1,4,5,
1,4,4,Pandas,Dodgers,dan720,727,3,1,2,5,
1,4,4,Pandas,Dodgers,MapleSurrup,694,3,1,1,6,
1,4,4,Dodgers,Pandas,Red Line,486,0,0,4,1,
1,4,4,Dodgers,Pandas,Whiffles,342,1,0,0,3,
1,5,4,Pandas,Dodgers,dan720,400,0,2,2,1,
1,5,4,Pandas,Dodgers,MapleSurrup,426,2,0,1,5,
1,5,4,Dodgers,Pandas,Red Line,619,1,1,3,3,
1,5,4,Dodgers,Pandas,Whiffles,474,2,1,1,3,
1,1,5,Comets,Spartans,Tunloink,559,3,0,1,4,
1,1,5,Comets,Spartans,isosolo,485,1,0,3,4,
1,1,5,Spartans,Comets,Blagden,252,1,0,0,1,
1,1,5,Spartans,Comets,kccolts81,408,0,1,2,2,
1,2,5,Comets,Spartans,Tunloink,701,4,0,0,7,
1,2,5,Comets,Spartans,isosolo,270,1,1,0,3,
1,2,5,Spartans,Comets,Blagden,252,1,0,0,1,
1,2,5,Spartans,Comets,kccolts81,408,0,1,2,2,
1,3,5,Comets,Spartans,Tunloink,574,2,1,2,7,
1,3,5,Comets,Spartans,isosolo,508,2,1,1,6,
1,3,5,Spartans,Comets,Blagden,675,3,1,2,5,
1,3,5,Spartans,Comets,kccolts81,732,2,2,3,3,
1,4,5,Comets,Spartans,Tunloink,883,5,2,0,8,
1,4,5,Comets,Spartans,isosolo,815,2,4,2,5,
1,4,5,Spartans,Comets,Blagden,539,2,0,1,2,
1,4,5,Spartans,Comets,kccolts81,354,0,1,2,2,
1,5,5,Comets,Spartans,Tunloink,1069,3,3,5,7,
1,5,5,Comets,Spartans,isosolo,912,4,2,1,5,
1,5,5,Spartans,Comets,Blagden,667,2,3,1,7,
1,5,5,Spartans,Comets,kccolts81,1101,4,2,3,7,
1,1,6,Jets,Sharks,Kunics,498,2,2,0,4,
1,1,6,Jets,Sharks,Bond Brother,886,3,2,2,9,
1,1,6,Sharks,Jets,Jdaaab,681,3,1,3,5,
1,1,6,Sharks,Jets,Mish,414,1,1,2,0,
1,2,6,Jets,Sharks,Kunics,436,0,2,2,5,
1,2,6,Jets,Sharks,Bond Brother,839,3,0,3,9,
1,2,6,Sharks,Jets,Jdaaab,676,1,1,4,5,
1,2,6,Sharks,Jets,Mish,519,1,1,2,4,
1,3,6,Jets,Sharks,Kunics,532,2,0,1,4,
1,3,6,Jets,Sharks,Bond Brother,451,1,1,2,1,
1,3,6,Sharks,Jets,Jdaaab,462,2,0,0,3,
1,3,6,Sharks,Jets,Mish,236,0,0,1,3,
1,4,6,Jets,Sharks,Kunics,422,1,1,2,2,
1,4,6,Jets,Sharks,Bond Brother,568,1,1,3,3,
1,4,6,Sharks,Jets,Jdaaab,459,2,0,2,1,
1,4,6,Sharks,Jets,Mish,825,4,1,1,11,
1,5,6,Jets,Sharks,Kunics,396,1,1,1,4,
1,5,6,Jets,Sharks,Bond Brother,384,1,0,2,5,
1,5,6,Sharks,Jets,Jdaaab,708,1,3,5,1,
1,5,6,Sharks,Jets,Mish,798,3,1,3,6,
1,1,7,Wolves,Hive,Dazerin,671,3,2,1,6,
1,1,7,Wolves,Hive,Sean,609,2,2,1,5,
1,1,7,Hive,Wolves,Squidd,556,2,0,2,4,
1,1,7,Hive,Wolves,KILT,380,1,1,1,2,
1,2,7,Wolves,Hive,Dazerin,336,1,1,0,1,
1,2,7,Wolves,Hive,Sean,746,3,1,1,7,
1,2,7,Hive,Wolves,Squidd,417,0,2,1,1,
1,2,7,Hive,Wolves,KILT,448,2,0,1,2,
1,3,7,Wolves,Hive,Dazerin,501,1,0,3,3,
1,3,7,Wolves,Hive,Sean,481,0,0,5,2,
1,3,7,Hive,Wolves,Squidd,696,2,0,4,7,
1,3,7,Hive,Wolves,KILT,292,0,1,1,5,
1,4,7,Wolves,Hive,Dazerin,429,1,1,2,4,
