Game Information,,,,,,Player Statlines,,,,,
Week,Game,Match ID,Team,Opponent,Player,Sc,G,A,Sv,Sh,NCP
1,1,1,Blizzard,Eclipse,Adi,458,1,2,1,4,
1,1,1,Blizzard,Eclipse,hellyaman,446,2,0,1,2,
1,1,1,Eclipse,Blizzard,Robber00,946,5,1,1,7,
1,1,1,Eclipse,Blizzard,The Great Teddie,258,1,0,1,2,
1,2,1,Blizzard,Eclipse,Adi,945,5,2,1,6,
1,2,1,Blizzard,Eclipse,hellyaman,639,2,3,1,5,
1,2,1,Eclipse,Blizzard,Robber00,529,1,1,3,1,
1,2,1,Eclipse,Blizzard,The Great Teddie,220,1,0,0,2,
1,3,1,Blizzard,Eclipse,Adi,421,1,1,1,5,
1,3,1,Blizzard,Eclipse,hellyaman,222,1,0,0,2,
1,3,1,Eclipse,Blizzard,Robber00,516,2,2,1,2,
1,3,1,Eclipse,Blizzard,The Great Teddie,478,2,1,2,2,
1,4,1,Blizzard,Eclipse,Adi,860,4,2,2,5,
1,4,1,Blizzard,Eclipse,hellyaman,753,2,4,1,5,
1,4,1,Eclipse,Blizzard,Robber00,378,0,1,2,2,
1,4,1,Eclipse,Blizzard,The Great Teddie,524,2,0,1,5,
1,5,1,Blizzard,Eclipse,Adi,496,2,1,0,5,
1,5,1,Blizzard,Eclipse,hellyaman,495,1,1,2,4,
1,5,1,Eclipse,Blizzard,Robber00,663,3,0,2,4,
1,5,1,Eclipse,Blizzard,The Great Teddie,418,1,2,1,2,
1,1,2,Hurricanes,Lightning,DocPep,305,0,1,2,2,
1,1,2,Hurricanes,Lightning,FlemingVincent,244,1,0,0,3,
1,1,2,Lightning,Hurricanes,BD Yurek,1034,5,1,3,6,
1,1,2,Lightning,Hurricanes,Flyin_Dutch_Oven,316,1,2,0,2,
1,2,2,Hurricanes,Lightning,DocPep,736,3,0,2,3,
1,2,2,Hurricanes,Lightning,FlemingVincent,146,0,1,0,0,
1,2,2,Lightning,Hurricanes,BD Yurek,545,3,0,0,4,
1,2,2,Lightning,Hurricanes,Flyin_Dutch_Oven,294,1,1,0,3,
1,3,2,Hurricanes,Lightning,DocPep,484,2,0,2,3,
1,3,2,Hurricanes,Lightning,FlemingVincent,494,1,2,2,1,
1,3,2,Lightning,Hurricanes,BD Yurek,402,1,1,0,5,
1,3,2,Lightning,Hurricanes,Flyin_Dutch_Oven,362,1,1,0,3,
1,4,2,Hurricanes,Lightning,DocPep,514,2,1,1,3,
1,4,2,Hurricanes,Lightning,FlemingVincent,466,2,1,1,2,
1,4,2,Lightning,Hurricanes,BD Yurek,446,1,2,1,3,
1,4,2,Lightning,Hurricanes,Flyin_Dutch_Oven,490,2,1,1,3,
1,5,2,Hurricanes,Lightning,DocPep,370,1,1,1,2,
1,5,2,Hurricanes,Lightning,FlemingVincent,532,2,1,1,2,
1,5,2,Lightning,Hurricanes,BD Yurek,504,0,3,1,4,
1,5,2,Lightning,Hurricanes,Flyin_Dutch_Oven,627,4,0,1,6,
1,1,3,Foxes,Puffins,Modangles_TTV,256,1,0,0,3,
1,1,3,Foxes,Puffins,DIDDYxKONG,160,0,0,1,1,
1,1,3,Puffins,Foxes,Tuxedo Marx,438,1,1,2,2,
1,1,3,Puffins,Foxes,AubreyE,329,1,0,1,2,
1,2,3,Foxes,Puffins,Modangles_TTV,559,2,0,1,3,
1,2,3,Foxes,Puffins,DIDDYxKONG,295,0,1,2,1,
1,2,3,Puffins,Foxes,Tuxedo Marx,578,2,2,0,5,
1,2,3,Puffins,Foxes,AubreyE,584,2,2,2,7,
1,3,3,Foxes,Puffins,Modangles_TTV,573,3,0,0,5,
1,3,3,Foxes,Puffins,DIDDYxKONG,465,0,2,3,1,
1,3,3,Puffins,Foxes,Tuxedo Marx,729,3,1,2,7,
1,3,3,Puffins,Foxes,AubreyE,579,2,3,1,3,
1,4,3,Foxes,Puffins,Modangles_TTV,316,1,1,0,1,
1,4,3,Foxes,Puffins,DIDDYxKONG,288,1,0,1,4,
1,4,3,Puffins,Foxes,Tuxedo Marx,478,2,2,1,3,
1,4,3,Puffins,Foxes,AubreyE,613,3,1,1,5,
1,5,3,Foxes,Puffins,Modangles_TTV,453,2,0,1,3,
1,5,3,Foxes,Puffins,DIDDYxKONG,504,2,1,0,3,
1,5,3,Puffins,Foxes,Tuxedo Marx,456,2,1,0,3,
1,5,3,Puffins,Foxes,AubreyE,368,1,0,2,3,
1,1,4,Sabres,Wolves,Sobes,462,2,1,1,6,
1,1,4,Sabres,Wolves,HK_BadBoy,390,1,2,0,4,
1,1,4,Wolves,Sabres,Texas21Ace,749,4,0,2,6,
1,1,4,Wolves,Sabres,OldManBallin26,568,1,3,3,0,
1,2,4,Sabres,Wolves,Sobes,447,0,2,1,3,
1,2,4,Sabres,Wolves,HK_BadBoy,834,3,0,2,5,
1,2,4,Wolves,Sabres,Texas21Ace,475,0,1,3,1,
1,2,4,Wolves,Sabres,OldManBallin26,566,2,0,1,5,
1,3,4,Sabres,Wolves,Sobes,455,2,0,1,3,
1,3,4,Sabres,Wolves,HK_BadBoy,359,0,1,2,0,
1,3,4,Wolves,Sabres,Texas21Ace,343,1,0,1,3,
1,3,4,Wolves,Sabres,OldManBallin26,206,0,1,0,2,
1,4,4,Sabres,Wolves,Sobes,333,0,1,2,1,
1,4,4,Sabres,Wolves,HK_BadBoy,599,3,0,1,5,
1,4,4,Wolves,Sabres,Texas21Ace,381,1,1,1,4,
1,4,4,Wolves,Sabres,OldManBallin26,380,1,1,1,3,
1,5,4,Sabres,Wolves,Sobes,276,0,0,2,1,
1,5,4,Sabres,Wolves,HK_BadBoy,370,2,0,0,3,
1,5,4,Wolves,Sabres,Texas21Ace,156,0,1,0,2,
1,5,4,Wolves,Sabres,OldManBallin26,736,4,0,1,6,
1,1,5,Aviators,Ducks,Achillies,637,3,0,0,5,
1,1,5,Aviators,Ducks,Pr0phete,443,0,2,1,4,
1,1,5,Ducks,Aviators,Winnie the Pooh,942,4,0,3,5,
1,1,5,Ducks,Aviators,Daddy J,384,0,2,1,1,
1,2,5,Aviators,Ducks,Achillies,911,2,4,3,3,
1,2,5,Aviators,Ducks,Pr0phete,773,4,0,2,4,
1,2,5,Ducks,Aviators,Winnie the Pooh,651,3,1,0,8,
1,2,5,Ducks,Aviators,Daddy J,494,2,2,0,4,
1,3,5,Aviators,Ducks,Achillies,369,0,2,1,3,
