Game Information,,,,,,Player Statlines,,,,,
Week,Game,Match ID,Team,Opponent,Player,Sc,G,A,Sv,Sh,NCP
1,1,1,Blizzard,Eclipse,GoldenGomez,653,2,0,1,5,
1,1,1,Blizzard,Eclipse,niallgbc,398,0,2,1,4,
1,1,1,Eclipse,Blizzard,Duggles,750,2,1,4,3,
1,1,1,Eclipse,Blizzard,Manatee,638,1,2,0,4,
1,2,1,Blizzard,Eclipse,GoldenGomez,287,0,0,1,3,
1,2,1,Blizzard,Eclipse,niallgbc,342,0,0,3,0,
1,2,1,Eclipse,Blizzard,Duggles,641,3,1,1,6,
1,2,1,Eclipse,Blizzard,Manatee,642,2,2,2,4,
1,3,1,Blizzard,Eclipse,GoldenGomez,474,1,0,2,5,
1,3,1,Blizzard,Eclipse,niallgbc,326,0,1,1,1,
1,3,1,Eclipse,Blizzard,Duggles,617,2,1,3,3,
1,3,1,Eclipse,Blizzard,Manatee,950,5,0,2,6,
1,4,1,Blizzard,Eclipse,GoldenGomez,569,2,1,1,3,
1,4,1,Blizzard,Eclipse,niallgbc,617,2,1,2,5,
1,4,1,Eclipse,Blizzard,Duggles,576,2,1,2,4,
1,4,1,Eclipse,Blizzard,Manatee,675,3,1,1,4,
1,5,1,Blizzard,Eclipse,GoldenGomez,477,1,0,3,1,
1,5,1,Blizzard,Eclipse,niallgbc,608,2,0,2,2,
1,5,1,Eclipse,Blizzard,Duggles,276,0,1,1,2,
1,5,1,Eclipse,Blizzard,Manatee,394,1,0,0,6,
1,1,2,Hurricanes,Lightning,Brandon,906,4,0,4,5,
1,1,2,Hurricanes,Lightning,Ondo,428,0,2,3,2,
1,1,2,Lightning,Hurricanes,Magnus,621,3,1,0,7,
1,1,2,Lightning,Hurricanes,Sleepless,483,2,1,0,5,
1,2,2,Hurricanes,Lightning,Brandon,454,1,0,4,3,
1,2,2,Hurricanes,Lightning,Ondo,308,1,1,0,3,
1,2,2,Lightning,Hurricanes,Magnus,700,2,2,3,4,
1,2,2,Lightning,Hurricanes,Sleepless,384,2,1,0,5,
1,3,2,Hurricanes,Lightning,Brandon,172,0,0,0,3,
1,3,2,Hurricanes,Lightning,Ondo,400,1,0,2,2,
1,3,2,Lightning,Hurricanes,Magnus,480,2,0,1,4,
1,3,2,Lightning,Hurricanes,Sleepless,582,2,2,1,7,
1,4,2,Hurricanes,Lightning,Brandon,607,2,0,4,1,
1,4,2,Hurricanes,Lightning,Ondo,615,1,1,5,5,
1,4,2,Lightning,Hurricanes,Magnus,565,3,0,1,4,
1,4,2,Lightning,Hurricanes,Sleepless,473,1,0,2,6,
1,5,2,Hurricanes,Lightning,Brandon,422,2,0,0,3,
1,5,2,Hurricanes,Lightning,Ondo,238,0,1,1,2,
1,5,2,Lightning,Hurricanes,Magnus,512,2,1,2,2,
1,5,2,Lightning,Hurricanes,Sleepless,691,4,0,1,6,
1,1,3,Foxes,Puffins,Tomez,511,3,0,1,2,
1,1,3,Foxes,Puffins,Ezra,396,0,2,1,4,
1,1,3,Puffins,Foxes,Shad,374,2,0,0,3,
1,1,3,Puffins,Foxes,RyanMTR,349,0,1,3,1,
1,2,3,Foxes,Puffins,Tomez,320,1,1,0,2,
1,2,3,Foxes,Puffins,Ezra,408,1,1,0,1,
1,2,3,Puffins,Foxes,Shad,535,3,0,1,3,
1,2,3,Puffins,Foxes,RyanMTR,765,4,2,0,5,
1,3,3,Foxes,Puffins,Tomez,124,0,0,0,0,
1,3,3,Foxes,Puffins,Ezra,381,0,0,4,1,
1,3,3,Puffins,Foxes,Shad,581,1,4,0,6,
1,3,3,Puffins,Foxes,RyanMTR,833,4,1,1,6,
1,4,3,Foxes,Puffins,Tomez,468,2,1,0,4,
1,4,3,Foxes,Puffins,Ezra,699,3,2,1,4,
1,4,3,Puffins,Foxes,Shad,510,2,1,2,5,
1,4,3,Puffins,Foxes,RyanMTR,533,2,1,2,3,
1,5,3,Foxes,Puffins,Tomez,290,1,0,1,2,
1,5,3,Foxes,Puffins,Ezra,255,0,0,2,2,
1,5,3,Puffins,Foxes,Shad,465,1,2,1,2,
1,5,3,Puffins,Foxes,RyanMTR,515,2,1,1,3,
1,1,4,Sabres,Wolves,K3v,464,0,1,4,4,
1,1,4,Sabres,Wolves,Keiko,450,2,0,1,2,
1,1,4,Wolves,Sabres,Phi Sig,538,2,1,1,4,
1,1,4,Wolves,Sabres,Zona,652,2,0,3,4,
1,2,4,Sabres,Wolves,K3v,411,0,1,3,3,
1,2,4,Sabres,Wolves,Keiko,382,1,0,1,4,
1,2,4,Wolves,Sabres,Phi Sig,450,2,0,2,6,
1,2,4,Wolves,Sabres,Zona,392,1,0,2,3,
1,3,4,Sabres,Wolves,K3v,232,0,0,1,2,
1,3,4,Sabres,Wolves,Keiko,492,2,0,0,3,
