Game Information,,,,,,Player Statlines,,,,,
Week,Game,Match ID,Team,Opponent,Player,Sc,G,A,Sv,Sh,NCP
1,1,1,Blizzard,Eclipse,jaybeeveee,366,1,0,0,5,
1,1,1,Blizzard,Eclipse,Mack,400,1,1,2,2,
1,1,1,Eclipse,Blizzard,Spirit,241,0,0,2,1,
1,1,1,Eclipse,Blizzard,Celery Man,204,0,0,1,1,
1,2,1,Blizzard,Eclipse,jaybeeveee,486,2,1,0,5,
1,2,1,Blizzard,Eclipse,Mack,608,2,1,2,4,
1,2,1,Eclipse,Blizzard,Spirit,564,2,2,1,4,
1,2,1,Eclipse,Blizzard,Celery Man,555,3,0,2,3,
1,3,1,Blizzard,Eclipse,jaybeeveee,408,1,0,1,1,
1,3,1,Blizzard,Eclipse,Mack,314,1,0,1,3,
1,3,1,Eclipse,Blizzard,Spirit,210,0,0,1,2,
1,3,1,Eclipse,Blizzard,Celery Man,452,0,0,0,2,
1,4,1,Blizzard,Eclipse,jaybeeveee,386,1,0,1,3,
1,4,1,Blizzard,Eclipse,Mack,372,1,0,0,6,
1,4,1,Eclipse,Blizzard,Spirit,431,0,1,3,1,
1,4,1,Eclipse,Blizzard,Celery Man,422,1,0,2,1,
1,5,1,Blizzard,Eclipse,jaybeeveee,704,4,0,1,7,
1,5,1,Blizzard,Eclipse,Mack,404,1,2,0,2,
1,5,1,Eclipse,Blizzard,Spirit,424,2,0,1,3,
1,5,1,Eclipse,Blizzard,Celery Man,509,2,0,1,2,
1,1,2,Hurricanes,Lightning,Black,809,4,0,2,6,
1,1,2,Hurricanes,Lightning,Booquiefious,570,2,2,0,8,
1,1,2,Lightning,Hurricanes,Legit.suspect,344,0,0,3,3,
1,1,2,Lightning,Hurricanes,Chief,296,0,0,2,2,
1,2,2,Hurricanes,Lightning,Black,434,1,2,0,2,
1,2,2,Hurricanes,Lightning,Booquiefious,422,2,0,0,4,
1,2,2,Lightning,Hurricanes,Legit.suspect,218,0,1,0,0,
1,2,2,Lightning,Hurricanes,Chief,409,1,0,1,1,
1,3,2,Hurricanes,Lightning,Black,530,2,1,1,4,
1,3,2,Hurricanes,Lightning,Booquiefious,448,1,1,1,5,
1,3,2,Lightning,Hurricanes,Legit.suspect,643,3,0,2,4,
1,3,2,Lightning,Hurricanes,Chief,543,1,2,3,2,
1,4,2,Hurricanes,Lightning,Black,564,2,1,0,6,
1,4,2,Hurricanes,Lightning,Booquiefious,466,2,1,0,5,
1,4,2,Lightning,Hurricanes,Legit.suspect,575,2,0,3,2,
1,4,2,Lightning,Hurricanes,Chief,427,1,0,2,1,
1,5,2,Hurricanes,Lightning,Black,128,0,0,0,1,
1,5,2,Hurricanes,Lightning,Booquiefious,260,0,0,1,0,
1,5,2,Lightning,Hurricanes,Legit.suspect,496,2,0,1,2,
1,5,2,Lightning,Hurricanes,Chief,374,1,1,0,3,
1,1,3,Foxes,Puffins,Superflame,621,3,1,0,8,
1,1,3,Foxes,Puffins,zFLaMEx2,360,1,1,0,2,
1,1,3,Puffins,Foxes,Kickpuncher,596,1,0,4,1,
1,1,3,Puffins,Foxes,mawnir,202,0,1,1,3,
1,2,3,Foxes,Puffins,Superflame,990,6,0,2,9,
1,2,3,Foxes,Puffins,zFLaMEx2,399,0,4,0,1,
1,2,3,Puffins,Foxes,Kickpuncher,286,0,0,1,2,
1,2,3,Puffins,Foxes,mawnir,168,0,0,1,0,
1,3,3,Foxes,Puffins,Superflame,242,1,1,0,2,
1,3,3,Foxes,Puffins,zFLaMEx2,557,2,0,2,3,
1,3,3,Puffins,Foxes,Kickpuncher,326,1,0,1,3,
1,3,3,Puffins,Foxes,mawnir,384,1,1,0,3,
1,4,3,Foxes,Puffins,Superflame,248,0,1,1,2,
1,4,3,Foxes,Puffins,zFLaMEx2,452,2,0,0,5,
1,4,3,Puffins,Foxes,Kickpuncher,434,2,0,1,3,
1,4,3,Puffins,Foxes,mawnir,208,1,0,0,2,
1,5,3,Foxes,Puffins,Superflame,486,2,0,1,5,
1,5,3,Foxes,Puffins,zFLaMEx2,420,1,1,1,3,
1,5,3,Puffins,Foxes,Kickpuncher,359,0,2,2,2,
1,5,3,Puffins,Foxes,mawnir,587,2,0,3,3,
1,1,4,Sabres,Wolves,Mario_RL,50,0,0,0,1,
1,1,4,Sabres,Wolves,KamuiKellz,330,0,0,1,4,
1,1,4,Wolves,Sabres,Meerkat!,967,5,1,2,7,
1,1,4,Wolves,Sabres,Peyton,875,5,1,1,8,
1,2,4,Sabres,Wolves,Mario_RL,864,3,3,2,3,
1,2,4,Sabres,Wolves,KamuiKellz,577,4,0,0,4,
1,2,4,Wolves,Sabres,Meerkat!,326,1,0,0,3,
1,2,4,Wolves,Sabres,Peyton,288,1,1,0,1,
1,3,4,Sabres,Wolves,Mario_RL,308,1,0,1,2,
1,3,4,Sabres,Wolves,KamuiKellz,478,0,0,4,1,
1,3,4,Wolves,Sabres,Meerkat!,322,0,2,1,3,
1,3,4,Wolves,Sabres,Peyton,547,2,0,1,5,
1,4,4,Sabres,Wolves,Mario_RL,1079,7,0,2,8,
1,4,4,Sabres,Wolves,KamuiKellz,514,1,3,1,3,
1,4,4,Wolves,Sabres,Meerkat!,464,1,1,2,5,
1,4,4,Wolves,Sabres,Peyton,398,2,1,0,3,
1,5,4,Sabres,Wolves,Mario_RL,715,4,1,0,5,
1,5,4,Sabres,Wolves,KamuiKellz,759,4,1,0,6,
1,5,4,Wolves,Sabres,Meerkat!,247,0,0,2,1,
1,5,4,Wolves,Sabres,Peyton,68,0,0,0,0,
1,1,5,Bulls,Dodgers,LordPanas,320,1,0,0,3,
1,1,5,Bulls,Dodgers,Moseidon,234,0,0,0,3,
1,1,5,Dodgers,Bulls,ChoosingToast,363,1,0,2,1,
1,1,5,Dodgers,Bulls,Lettuce,346,1,0,2,0,
1,2,5,Bulls,Dodgers,LordPanas,602,2,1,2,3,
1,2,5,Bulls,Dodgers,Moseidon,250,1,0,0,2,
1,2,5,Dodgers,Bulls,ChoosingToast,382,2,0,0,4,
1,2,5,Dodgers,Bulls,Lettuce,312,0,1,1,3,
1,3,5,Bulls,Dodgers,LordPanas,292,1,0,1,3,
1,3,5,Bulls,Dodgers,Moseidon,330,0,0,2,4,
1,3,5,Dodgers,Bulls,ChoosingToast,350,0,1,2,3,
1,3,5,Dodgers,Bulls,Lettuce,876,4,0,3,6,
1,4,5,Bulls,Dodgers,LordPanas,220,0,1,0,2,
1,4,5,Bulls,Dodgers,Moseidon,336,1,0,1,1,
1,4,5,Dodgers,Bulls,ChoosingToast,360,2,0,0,3,
1,4,5,Dodgers,Bulls,Lettuce,490,2,0,1,2,
1,5,5,Bulls,Dodgers,LordPanas,280,1,0,0,4,
1,5,5,Bulls,Dodgers,Moseidon,218,0,0,1,0,
1,5,5,Dodgers,Bulls,ChoosingToast,504,2,0,2,2,
1,5,5,Dodgers,Bulls,Lettuce,417,2,0,1,3,
1,1,6,Elite,Tyrants,Stoofy,360,1,0,1,4,
1,1,6,Elite,Tyrants,Skee,122,0,0,0,3,
1,1,6,Tyrants,Elite,fasterthanfalcon,426,2,0,2,3,
1,1,6,Tyrants,Elite,jansen24,242,0,0,1,0,
1,2,6,Elite,Tyrants,Stoofy,442,1,0,1,1,
1,2,6,Elite,Tyrants,Skee,108,0,0,0,2,
1,2,6,Tyrants,Elite,fasterthanfalcon,358,1,0,1,4,
1,2,6,Tyrants,Elite,jansen24,342,1,0,1,1,
1,3,6,Elite,Tyrants,Stoofy,385,0,0,3,2,
1,3,6,Elite,Tyrants,Skee,98,0,0,0,1,
1,3,6,Tyrants,Elite,fasterthanfalcon,850,4,4,1,5,
1,3,6,Tyrants,Elite,jansen24,1035,5,2,1,8,
1,4,6,Elite,Tyrants,Stoofy,373,0,1,2,2,
1,4,6,Elite,Tyrants,Skee,238,1,0,0,1,
1,4,6,Tyrants,Elite,fasterthanfalcon,326,0,1,2,0,
1,4,6,Tyrants,Elite,jansen24,757,5,0,0,7,
1,5,6,Elite,Tyrants,Stoofy,314,1,0,1,3,
1,5,6,Elite,Tyrants,Skee,319,1,0,1,1,
1,5,6,Tyrants,Elite,fasterthanfalcon,789,5,1,0,7,
1,5,6,Tyrants,Elite,jansen24,575,2,2,1,4,
1,1,7,Flames,Pandas,Finicko,821,4,1,1,5,
1,1,7,Flames,Pandas,The Reaction,410,2,2,0,3,
1,1,7,Pandas,Flames,Cardinal22,338,1,0,0,3,
1,1,7,Pandas,Flames,LaKodiak,104,0,0,0,1,
1,2,7,Flames,Pandas,Finicko,324,0,2,0,3,
1,2,7,Flames,Pandas,The Reaction,551,3,0,0,5,
1,2,7,Pandas,Flames,Cardinal22,374,1,1,2,3,
1,2,7,Pandas,Flames,LaKodiak,388,1,0,1,1,
1,3,7,Flames,Pandas,Finicko,260,0,1,1,3,
1,3,7,Flames,Pandas,The Reaction,298,1,0,0,1,
1,3,7,Pandas,Flames,Cardinal22,619,2,1,1,2,
1,3,7,Pandas,Flames,LaKodiak,352,1,0,2,1,
1,4,7,Flames,Pandas,Finicko,417,1,1,2,4,
1,4,7,Flames,Pandas,The Reaction,491,1,0,2,3,
