Player,Goals For,Goals Against
Kaeso Clarus,29,23
obfuscurity,57,69
Meddler,88,47
AtoMic,63,73
Herbs,71,75
RedTaill,46,80
Lars Newt,60,63
Schult,80,70
Hotsaucethepirate,82,63
Nyyankeesrd,73,54
Perpetual Confusion,92,77
OldManBallin26,60,60
Rowdy,31,54
jamesy1024,42,69
Deejay,58,94
Super,75,36
DonutPirate,52,86
Luna's Protector,23,31
TheMagnelephant,41,84
DocPep,61,79
Chunkylover,26,19
Rick,43,33
Knight Doc Wolfe,60,22
abrothershamus,58,50
TSR,77,46
Revolving,34,33
mdsooter,63,54
Luke,57,44
DonkeyKong,25,26
Clowdy Howdy,57,75
stevo,60,52
Capsfan,72,57
WolfAlone,68,85
DaddyDudley,20,42
BabiNorthWest,72,67
Dkmc6,84,63
HK_BadBoy,77,58
Dolo7,51,53
LightningHawk505,87,70
Hermod,57,28
Gus,82,59
cakekyst,54,51
Lowest Effort,73,62
AubreyE,81,55
Tyler,37,18
Havinfun85,81,61
RoyalGrace,40,95
NinjaRider,5,27
Springer,33,31
redwaterblue,66,74
ZeeBee,77,42
Deli,77,55
Riyo,68,94
DareMe,72,86
kjintroverted,62,93
DrummerBoy904,45,98
samourai,18,11
Eric_,108,47
crtzthenoob,89,77
bitpost,42,93
Mr_Bigglezworth,72,78
Burrie,15,45
crossfire8255,61,23
TeaBoneJones,93,46
Brava,42,61
Faker,119,66
Ubr,24,47
nzym,92,63
Kerwood,87,57
Galaxy,82,63
Keegabyte,58,79
Sci_Frye,72,51
Jay,75,85
blizzardchill,48,85
Foxygen,17,49
Texas21Ace,17,16
Snowyfeather,55,66
Redline,45,52
Lawrence,33,30
TheHamburglar,43,63
ilikepie2151,70,86
Jordak,56,56
Krosis,31,46
MouseRat,56,55
Killerbaird2,79,69
ScruffyLobo,30,98
Zeus,81,98
Samourai,73,48
Mike_Raphone,57,62
mykey,54,43
SSS,92,56
The Big C,59,69
Zeakz,71,38
NoahBez,70,40
Khacs,95,63
Littleking04,50,48
Agent Thunder,40,65
DK,82,51
B++,23,28
Yuckduck,46,35
Nb_legend94,10,49
CaliforniaStoll,23,36
NotHenry,24,36
Faux Paw,32,14
miller10blue,33,50
TevynAlekzandar,33,54
Elcycle,16,24
DDia,33,25
BD Yurek,53,34
hellyaman,15,39
Brokarian,27,28
TopHatHero,22,39
Avoidzz,29,38
Endless,18,10
Bookopoulus,25,32
lllGidderslll,26,41
trg30809,10,24
niallgbc,38,28
MCas86,13,13
Sleegi,16,18
UrbaN_,15,14
