Player,Goals For,Goals Against
Kracerlink,91,70
Ryder,79,68
BadK1dz,26,30
Korluss,74,61
Tater,101,61
Crey2k,65,63
MikeIsMyIke,83,70
Beninemm,71,63
Saucey,75,60
notmike,57,57
K3v,46,68
Big Boi Johnny,51,68
Jimmer,77,92
KingHaast,62,125
CinderBlock,65,66
Bandicoot,87,77
Bondo,9,16
Moosey,69,72
AcePocket,87,62
Aether,65,65
Xeia,36,28
Demonic,61,58
JorbyPls,45,122
Mythonian,44,80
alex5050,65,62
TruSolja,90,62
Bones,71,62
iP JoKeR,37,30
The Law,93,62
BlueMars2,53,67
furphy,53,37
InanimateJ,91,55
Jroja,50,51
Icey6,77,59
Thunder,74,63
euronate,99,62
Shackelz,13,39
T3nshuN,4,12
Manatee,54,47
Flog Pops,64,49
robin.,11,23
Magnus,63,90
Trent,57,35
BazedN,78,43
Krops,71,85
Lil Q,67,56
Fllassh,66,66
007Bondo,17,33
RapidChampion,54,80
Thunderbug95,61,82
Jeremazing,61,69
Sushii,74,73
Phyrexius,75,86
Rushy,61,59
Scoobert Doobert,79,74
Grizz1y,70,60
Haimgame,30,20
Uhsteve,88,51
Chase,80,69
JakeUpTheLeft,63,61
Holo,48,62
GoldenGomez,49,53
Wubby,79,63
Thunderballs,54,44
Water,68,51
Sadomi_,20,45
RED,94,66
1AMRamen,43,58
Peytoneli,99,74
OGkrish,82,63
kcscrag,58,49
Lightning ,54,68
Majik,109,72
hazelnutlatte,58,92
Pomwonderful,27,32
Ondo,48,65
Fittz,68,70
MonsterJamers,51,106
Koalemos,91,56
tehblister,28,59
Jdubbz,70,65
Waffle,21,32
Lad,80,58
Void,69,57
Hell,62,92
Ech0,50,59
SchellRL,68,66
Badgey,45,88
Kat,71,75
Icyymike,36,49
Vino,51,49
Cali,71,68
GreatGodZeus,89,66
Script,42,56
Mixtape,17,47
Vandy_,60,44
Minamacky,101,44
Sough,56,78
Zair,44,46
Wray,81,66
Rolamin,53,53
Fluffy_Eagle,36,38
Arrogantmeat,23,35
Brandon,13,10
Chunkylover,21,40
Ty (Arcus),14,16
Unforgiven,67,39
Bel,43,49
Zyta,12,19
KittenDuck,32,14
ArcaneLizard,9,17
easy359,21,37
crossfire8255,38,29
Xivilai47,5,15
Insomnia,8,22
DemonicWool,10,18
InvaderZed,11,28
Tyler,12,12
Sleepless,12,12
