Player,Goals For,Goals Against
RainbowNoms,99,61
Tagmata,55,35
Peabs,80,60
synthex,32,41
El Diablo Rojo,74,50
Codex,58,44
Plum,54,34
PuffTheDargon,43,83
Fuzh,99,91
Barry Allen,51,39
SmilezRL,55,87
whale,65,76
dan720,16,13
MapleSurrup,75,63
Red Line,45,58
Whiffles,66,109
Tunloink,98,95
isosolo,50,47
Blagden,56,82
kccolts81,57,82
Kunics,35,69
Bond Brother,80,80
Jdaaab,70,76
Mish,69,59
Dazerin,47,70
Sean,71,62
Squidd,43,38
KILT,14,13
Mateo,59,80
Giant,63,59
Apollo,14,13
Atokad,95,52
Floms,103,67
JRyck,27,30
Cearu,76,39
JustTuck,26,68
Riz,37,70
Iguane Fabuleux,75,56
Reverse Fridge,55,67
Vitali,59,74
Bolio,66,73
magipod,48,82
henrY,91,45
BScottyJ,68,60
oogga,50,37
Malamente,76,55
Corelli,63,71
Sinnicole,42,52
Kadu,38,65
JangosGotAMango,23,10
Erayne,57,54
.bacon,54,32
Haimgame,49,59
Mage,21,23
Jakester,46,33
Luke_Rocks,24,27
Prosperity2K,21,29
Kamedez,21,15
Zack,66,45
TosCrazy,11,24
Unborn,31,23
TyTy,16,11
Pulch,9,17
GOYO,17,9
Satsz,22,33
