Player,Goals For,Goals Against
jaybeeveee,83,71
Mack,55,64
Spirit,95,118
Celery Man,63,64
Black,48,32
Booquiefious,111,44
Legit.suspect,35,33
Chief,32,65
Superflame,66,30
zFLaMEx2,18,8
Kickpuncher,58,97
mawnir,26,41
Mario_RL,127,102
KamuiKellz,66,61
Meerkat!,127,119
Peyton,91,137
LordPanas,69,98
Moseidon,49,76
ChoosingToast,64,92
Lettuce,57,44
Stoofy,40,60
Skee,75,86
fasterthanfalcon,101,53
jansen24,50,9
Finicko,42,56
The Reaction,42,56
Cardinal22,121,87
LaKodiak,103,59
Driu,77,34
Zar235,58,36
ItsChangYang,81,79
Xtarasenko91x,76,108
Silen7,37,56
AD Slaps,76,95
omnikron,33,49
silentdrill,126,65
Lordmarkram,104,90
Versy,7,35
Avo_RL,35,30
Slink,88,97
Alton,48,15
Juice,69,111
Icy_fatal99,26,42
Gon955,72,115
Boby Shew,133,87
SiegeRL,55,36
kakutani,31,22
Tiberius,75,96
TripleLayerNacho,55,74
Darkfire,33,28
Scipio,27,80
Americas F1nest,80,53
Bigbassfishin,38,39
BuildABear,46,51
TheLouzer,47,56
Outta Boost,62,58
Vu Ma,38,28
Razzmiik,13,14
UnlimitedDucks,71,37
K03,55,42
Jackal,63,37
PoorlyBuiltTaco,75,64
Kingkris32,64,54
CobraKaiRL,13,68
Kenny,59,45
big mac,62,48
Ray Finkle,73,88
Mbizzle Bruh,38,41
KEAxCoPe,19,8
Frawd,70,47
ChanceByViper22,49,72
TheGamingBear,22,21
MrIDontKnow,51,52
Robinson,28,65
HueminDisguys,45,45
ph4yt3,20,29
GameStrike208,30,23
Prophet,36,21
Karshel,28,64
Mikey,6,14
gabronies,10,17
kwatz,7,11
